window,mjd_min_requested,mjd_max_requested,n_points,mjd_min_used,mjd_max_used,median_dt_days,max_gap_days,period_min_days,period_max_days,wwz_peak_period_days,wwz_peak_power,time_divisions,decay_constant,freq_step_factor,significance,series,png,npz
60200_60700,60200.0,60700.0,493,60200.16692314894,60699.16688669004,1.0000010420990293,4.350674537286977,2.0,200.0,111.01223220868066,13.612282495930792,250,0.0125,0.5,not_reproduced,excess_counts_photon_count_flux_proxy,data/processed/periodicity/xgm_poster_repro/mkn421/mkn421_daily_60200_60700_wwz_poster_style.png,data/processed/periodicity/xgm_poster_repro/mkn421/mkn421_daily_60200_60700_wwz.npz
61020_61098,61020.0,61098.0,78,61020.16722094902,61097.16701215279,0.9999947914038785,1.0003310184038128,2.0,50.0,50.0,18.573078493737928,78,0.0125,0.5,not_reproduced,excess_counts_photon_count_flux_proxy,data/processed/periodicity/xgm_poster_repro/mkn421/mkn421_daily_61020_61098_wwz_poster_style.png,data/processed/periodicity/xgm_poster_repro/mkn421/mkn421_daily_61020_61098_wwz.npz
