source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
m87,M87,2021-10-25_2021-10-31,week,59515.5,2021-10-25,2021-10-31,6.174e-14,4.582e-14,0.06174,0.04582,1e-12,2.25,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-01_2021-11-07,week,59522.5,2021-11-01,2021-11-07,1.445e-14,4.711e-14,0.01445,0.04711,1e-12,0.1,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-08_2021-11-14,week,59529.5,2021-11-08,2021-11-14,0.0,1.3584e-13,0.0,0.13584,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-15_2021-11-21,week,59536.5,2021-11-15,2021-11-21,0.0,1.3215e-13,0.0,0.13215,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-22_2021-11-28,week,59543.5,2021-11-22,2021-11-28,5.006e-14,4.819e-14,0.05006,0.04819,1e-12,1.35,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-29_2021-12-05,week,59550.5,2021-11-29,2021-12-05,7.15e-15,8.581e-14,0.00715,0.08581,1e-12,0.02,2.6,3.0,1,OK,OK,True
m87,M87,2021-12-06_2021-12-12,week,59557.5,2021-12-06,2021-12-12,9.075e-14,4.556e-14,0.09075,0.04556,1e-12,5.66,2.6,3.0,1,OK,OK,True
m87,M87,2021-12-13_2021-12-19,week,59564.5,2021-12-13,2021-12-19,8.905e-14,4.98e-14,0.08905,0.0498,1e-12,4.18,2.6,3.0,1,OK,OK,True
m87,M87,2021-12-20_2021-12-26,week,59571.5,2021-12-20,2021-12-26,3.659e-14,4.247e-14,0.03659,0.04247,1e-12,0.88,2.6,3.0,1,OK,OK,True
m87,M87,2021-12-27_2022-01-02,week,59578.5,2021-12-27,2022-01-02,1.0827e-13,5.115e-14,0.10827,0.05115,1e-12,6.28,2.6,3.0,1,OK,OK,True
m87,M87,2022-01-03_2022-01-09,week,59585.5,2022-01-03,2022-01-09,4.483e-14,4.972e-14,0.04483,0.04972,1e-12,0.9,2.6,3.0,1,OK,OK,True
m87,M87,2022-01-10_2022-01-16,week,59592.5,2022-01-10,2022-01-16,9.313e-14,4.861e-14,0.09313,0.04861,1e-12,4.5,2.6,3.0,1,OK,OK,True
m87,M87,2022-01-17_2022-01-23,week,59599.5,2022-01-17,2022-01-23,4.021e-14,4.713e-14,0.04021,0.04713,1e-12,0.85,2.6,3.0,1,OK,OK,True
m87,M87,2022-01-24_2022-01-30,week,59606.5,2022-01-24,2022-01-30,2.962e-14,4.175e-14,0.02962,0.04175,1e-12,0.58,2.6,3.0,1,OK,OK,True
m87,M87,2022-01-31_2022-02-06,week,59613.5,2022-01-31,2022-02-06,2.7013e-13,6.057e-14,0.27013,0.06057,1e-12,28.05,2.6,3.0,1,OK,OK,True
m87,M87,2022-02-07_2022-02-13,week,59620.5,2022-02-07,2022-02-13,0.0,7.237e-14,0.0,0.07237,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2022-02-14_2022-02-20,week,59627.5,2022-02-14,2022-02-20,0.0,3.043e-14,0.0,0.03043,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2022-02-21_2022-02-27,week,59634.5,2022-02-21,2022-02-27,0.0,5.386e-14,0.0,0.05386,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2022-02-28_2022-03-06,week,59641.5,2022-02-28,2022-03-06,0.0,2.335e-14,0.0,0.02335,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2022-03-07_2022-03-13,week,59648.5,2022-03-07,2022-03-13,6.723e-14,4.143e-14,0.06723,0.04143,1e-12,3.92,2.6,3.0,1,OK,OK,True
m87,M87,2022-03-14_2022-03-20,week,59655.5,2022-03-14,2022-03-20,5.419e-14,4.161e-14,0.05419,0.04161,1e-12,2.3,2.6,3.0,1,OK,OK,True
