mjd,fermi_flux,fermi_flux_err
59284.33328206009,1.3573487e-07,3.8164735e-08
59291.16655543972,8.41625e-08,2.4865908e-08
59298.16639849528,2.371618e-07,3.7790524e-08
59305.16613796316,2.5166506e-07,3.1954812e-08
59312.16602650478,2.2696608e-07,3.556756e-08
59318.83206319419,1.8533962e-07,3.064582e-08
59326.32490347181,1.4060922e-07,2.3763704e-08
59333.15840833324,1.9261256e-07,2.7695604e-08
59340.166622916775,1.8239153e-07,3.8593665e-08
59347.16690069436,1.4101606e-07,3.3363623e-08
59354.16703310164,3.1302642e-07,4.4928765e-08
59361.16682986069,1.1702845e-07,3.748874e-08
59368.16688032413,1.5871576e-07,2.898935e-08
59375.16701273163,2.1881806e-07,2.79249e-08
59382.16671944457,1.9467856e-07,2.9070693e-08
59389.16656782394,1.6811212e-07,3.7880017e-08
59396.16681620365,1.0437145e-07,2.900629e-08
59403.16680162038,1.6522912e-07,3.6046337e-08
59410.16673958351,9.429133e-08,1.2588124e-08
59417.16679537053,1.16657255e-07,3.687029e-08
59424.16695729188,2.0821047e-07,3.7836074e-08
59431.16673773149,1.088943e-07,3.3903277e-08
59438.16700601812,9.727544e-08,3.3118184e-08
59445.16691111219,1.292345e-07,3.166998e-08
59452.16672245379,1.1378768e-07,2.7603553e-08
59459.16678854192,2.1887848e-07,3.395405e-08
59466.167044907554,1.7860567e-07,6.927372e-08
59473.16697187504,1.1782327e-07,4.202467e-08
59480.166958217735,1.05649946e-07,1.0587469e-08
59487.24986284722,1.2421135e-07,2.4836412e-08
59494.25005740744,1.10717984e-07,2.1342002e-08
59501.16663148133,2.1867983e-07,3.5264854e-08
59508.16666423631,2.1048822e-07,1.8062387e-08
59515.1669280092,1.3528154e-07,2.4867278e-08
59522.1668252314,8.4594e-08,1.9980543e-08
59529.16671238424,2.1945118e-07,2.4763796e-08
59536.16684085637,1.7702561e-07,2.5211822e-08
59543.166822106185,1.6512415e-07,2.471896e-08
59550.16697291678,1.4057791e-07,1.1065738e-08
59557.16690509248,1.7646673e-07,1.8933637e-08
59564.166788194445,1.9476414e-07,3.2202376e-08
59571.16683148157,2.1273605e-07,3.8432702e-08
59578.16677905083,1.4357695e-07,3.4643804e-08
59585.16683425926,1.7033508e-07,1.9483366e-08
59592.16679201393,1.79894e-07,3.9272496e-08
59599.16700868019,2.060666e-07,1.1125085e-08
59606.16685833294,4.6011213e-08,2.2530859e-08
59613.16693032354,2.2055072e-07,3.6970523e-08
59620.16686990748,1.526816e-07,3.183508e-08
59627.16690486121,,
59634.16683993064,4.1798924e-07,1.5189366e-07
59641.166850115726,2.3456789e-07,3.450404e-08
59648.16671736075,1.735478e-07,3.7732214e-08
59655.16690104192,1.6673852e-07,4.1471104e-08
59662.16696226853,1.3459781e-07,3.1434034e-08
59669.166778935,1.7679471e-07,2.4817833e-08
59676.16661817132,1.7788555e-07,3.184691e-08
59683.16650127327,1.0999294e-07,3.124134e-08
59690.16679131911,1.2412238e-07,2.801561e-08
59697.16674571783,1.9401237e-07,2.6160622e-08
59704.16650463019,2.0225166e-07,1.1413436e-08
59711.16671157407,2.5208337e-07,4.2083794e-08
59718.16637986089,2.7827144e-07,3.6753207e-08
59725.16671539346,2.3229298e-07,3.415863e-08
59732.16694317115,1.5309203e-07,1.9195838e-08
59739.16687361122,1.4089089e-07,2.4565576e-08
59746.1670091434,1.519832e-07,2.268685e-08
59753.167018634485,3.130482e-07,3.8500968e-08
59760.16680532409,3.7322778e-07,3.1626634e-08
59767.16666122664,3.3180106e-07,4.136805e-08
59774.16690879582,2.751445e-07,3.5985117e-08
59781.1668662036,3.6290135e-07,4.9179175e-08
59788.16675636565,2.6805802e-07,5.6562076e-08
59795.16681076432,2.5015297e-07,4.0612555e-08
59802.166529745205,2.1171762e-07,4.136011e-08
59809.16680590272,2.4961236e-07,4.2897366e-08
59816.16690625,2.1162361e-07,3.9895426e-08
59823.14737326394,1.4248545e-07,2.9321592e-08
59830.14744907413,1.5823781e-07,3.259373e-08
59837.1668284719,2.950596e-07,1.1143554e-07
59844.16651377377,1.882266e-07,3.3725893e-08
59851.1669710641,1.9744887e-07,3.0071476e-08
59858.16684722263,2.796834e-07,3.2356716e-08
59865.16683425795,2.8918976e-07,3.0344133e-08
59871.978755787066,2.0780783e-07,3.235454e-08
59879.2502747682,2.4153275e-07,3.3883143e-08
59886.16695219893,2.053692e-07,1.4645264e-08
59893.16699583343,1.9940916e-07,3.820667e-08
59900.16687060168,2.3341428e-07,2.8841164e-08
59907.16699351847,1.7023214e-07,8.395531e-09
59914.166677777845,3.0845345e-07,3.573072e-08
59921.166612731264,2.459939e-07,3.5329656e-08
59928.16688993055,2.3507451e-07,3.461335e-08
59935.16690578736,2.4741576e-07,3.216223e-08
59942.16682083384,3.1158984e-07,1.7533157e-08
59949.16686342559,3.1865673e-07,4.618338e-08
59956.16683078704,2.5857892e-07,2.1350516e-08
59963.16676030106,1.824552e-07,3.849251e-08
59970.16675717596,3.0134882e-07,4.6259633e-08
59977.16682650465,2.9442216e-07,3.973359e-08
59984.16681087963,1.9823774e-07,3.09636e-08
59991.166785648245,2.1817621e-07,4.5053905e-08
59998.16684629615,,
60005.16687835648,2.1353985e-07,4.6433502e-08
60012.16669861128,1.3827949e-07,3.102053e-08
60019.16670821783,2.0597962e-07,3.1572977e-08
60026.16679004633,2.3198686e-07,1.7362856e-08
60033.166902199344,1.9513699e-07,3.3673814e-08
60040.16684895881,2.991831e-07,3.8724522e-08
60047.16669548633,1.8878438e-07,3.1261916e-08
60054.16680555557,2.81492e-07,3.9300556e-08
60061.166785763984,3.4012075e-07,3.5569947e-08
60068.16675104176,1.7253775e-07,2.4281391e-08
60075.16686215272,3.4324069e-07,3.6810366e-08
60082.16686030101,2.4678275e-07,3.8052914e-08
60089.16687615765,1.9970146e-07,3.1902513e-08
60096.1668083332,1.9089212e-07,3.1392265e-08
60103.167110069255,1.7027065e-07,2.8046637e-08
60110.16689143563,2.1977408e-07,2.9157627e-08
60117.16688773152,2.7939925e-07,3.368552e-08
60124.166909374864,1.6904586e-07,3.2597153e-08
60131.166912731336,2.2013518e-07,3.8636173e-08
60138.16683148146,1.8658862e-07,3.1445044e-08
60145.16698715271,2.9312795e-07,4.159781e-08
