source,series,window,target,target_type,target_period_days,nearest_grid_period_days,nearest_grid_power,nearest_grid_rank,local_window_min_days,local_window_max_days,local_window_peak_period_days,local_window_peak_power,local_window_peak_rank,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,cycles,n_points,n_surrogates,local_exceed_count,global_exceed_count,ar1_alpha,null_model,note
Mrk 421,wcda_daily_flux_v2,60200-60700,v2 flux global peak,v2 flux global peak,111.012232,111.01223581757506,17.174967536186866,1,99.9110088,122.1134552,111.01223581757506,17.174967536186866,1,0.17282717282717283,0.7232767232767233,0.8271728271728271,0.2767232767232767,26.77156955005635,36.54015480873676,False,False,4.495000154577561,491,1000,172,723,0.8284665481442199,AR(1) Gaussian surrogate on same v2 daily flux sampling,Targeted local-window WWZ check only; no source/method/window-search/post-trial correction.
Mrk 421,wcda_daily_flux_v2,60200-60700,xgm poster reference 51.05 d,xgm poster reference,51.05,49.92496248124061,16.697398167754418,2,45.945,56.155,49.92496248124061,16.697398167754418,2,0.1008991008991009,0.7462537462537463,0.8991008991008991,0.2537462537462537,16.470891094356215,22.182852692485188,True,False,9.774730656219393,491,1000,100,746,0.8284665481442199,AR(1) Gaussian surrogate on same v2 daily flux sampling,Targeted local-window WWZ check only; no source/method/window-search/post-trial correction.
