mjd,flux_jy,flux_err_jy,band,series_label,description,source,source_url,data_kind
59511.48465,0.4962971135466215,0.008143075045261128,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59524.17212857142,0.45679972916241,0.006844433678762973,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59547.292499999996,0.434,0.004900000000000053,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59557.20315000001,0.40232912176785945,0.005975342690209384,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59569.3986,0.34918,0.008040000000000047,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59586.0461,0.46869916125061767,0.004883280567938779,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59603.909600000006,0.4198570249029972,0.009786291053658506,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59623.026266666675,0.4386536030326241,0.010188698079703018,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59678.96899999999,0.4754802600163793,0.011039274967925413,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59695.8037,0.5042981594396404,0.030600895096678665,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59718.06339999999,0.454443835461956,0.006276927608510914,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59746.49303333333,0.4336766267351951,0.02139966957614566,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
