source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,day,2021-04-09_2021-04-09,59313.5,2021-04-09,2021-04-09,6,2.6,3.0,2.3263e-13,1.5759e-13,2.3263e-13,1.5759e-13,0.23263,0.15759,1e-12,2.42,OK
Mkn421,day,2021-04-10_2021-04-10,59314.5,2021-04-10,2021-04-10,5,2.6,3.0,3.6946e-13,2.379e-13,3.6946e-13,2.379e-13,0.36946,0.2379,1e-12,3.05,OK
Mkn421,day,2021-04-11_2021-04-11,59315.5,2021-04-11,2021-04-11,6,2.6,3.0,5.3715e-13,1.9153e-13,5.3715e-13,1.9153e-13,0.53715,0.19153,1e-12,10.42,OK
Mkn421,day,2021-04-12_2021-04-12,59316.5,2021-04-12,2021-04-12,6,2.6,3.0,6.6795e-13,1.6327e-13,6.6795e-13,1.6327e-13,0.66795,0.16327,1e-12,24.63,OK
Mkn421,day,2021-04-13_2021-04-13,59317.5,2021-04-13,2021-04-13,6,2.6,3.0,4.6484e-13,1.8121e-13,4.6484e-13,1.8121e-13,0.46484,0.18121,1e-12,8.63,OK
Mkn421,day,2021-04-14_2021-04-14,59318.5,2021-04-14,2021-04-14,5,2.6,3.0,1.12674e-12,2.094e-13,1.12674e-12,2.094e-13,1.12674,0.2094,1e-12,45.56,OK
Mkn421,day,2021-04-15_2021-04-15,59319.5,2021-04-15,2021-04-15,4,2.6,3.0,5.8637e-13,1.6344e-13,5.8637e-13,1.6344e-13,0.58637,0.16344,1e-12,21.78,OK
Mkn421,day,2021-04-16_2021-04-16,59320.5,2021-04-16,2021-04-16,4,2.6,3.0,9.8171e-13,1.7914e-13,9.8171e-13,1.7914e-13,0.98171,0.17914,1e-12,45.47,OK
Mkn421,day,2021-04-17_2021-04-17,59321.5,2021-04-17,2021-04-17,4,2.6,3.0,6.7178e-13,1.6308e-13,6.7178e-13,1.6308e-13,0.67178,0.16308,1e-12,32.79,OK
Mkn421,day,2021-04-18_2021-04-18,59322.5,2021-04-18,2021-04-18,2,2.6,3.0,1.70888e-12,6.1774e-13,1.70888e-12,6.1774e-13,1.70888,0.61774,1e-12,10.38,OK
Mkn421,day,2021-04-20_2021-04-20,59324.5,2021-04-20,2021-04-20,6,2.6,3.0,1.6958e-13,1.8377e-13,1.6958e-13,1.8377e-13,0.16958,0.18377,1e-12,0.99,OK
Mkn421,day,2021-04-21_2021-04-21,59325.5,2021-04-21,2021-04-21,5,2.6,3.0,5.7142e-13,1.9249e-13,5.7142e-13,1.9249e-13,0.57142,0.19249,1e-12,12.76,OK
Mkn421,day,2021-04-22_2021-04-22,59326.5,2021-04-22,2021-04-22,6,2.6,3.0,2.7954e-13,1.7994e-13,2.7954e-13,1.7994e-13,0.27954,0.17994,1e-12,2.91,OK
Mkn421,day,2021-04-23_2021-04-23,59327.5,2021-04-23,2021-04-23,6,2.6,3.0,2.7377e-13,1.4447e-13,2.7377e-13,1.4447e-13,0.27377,0.14447,1e-12,4.54,OK
Mkn421,day,2021-04-24_2021-04-24,59328.5,2021-04-24,2021-04-24,6,2.6,3.0,3.233e-13,1.8238e-13,3.233e-13,1.8238e-13,0.3233,0.18238,1e-12,4.47,OK
Mkn421,day,2021-04-25_2021-04-25,59329.5,2021-04-25,2021-04-25,6,2.6,3.0,3.8859e-13,1.5045e-13,3.8859e-13,1.5045e-13,0.38859,0.15045,1e-12,9.01,OK
Mkn421,day,2021-04-26_2021-04-26,59330.5,2021-04-26,2021-04-26,6,2.6,3.0,4.3104e-13,2.0025e-13,4.3104e-13,2.0025e-13,0.43104,0.20025,1e-12,6.44,OK
Mkn421,day,2021-04-27_2021-04-27,59331.5,2021-04-27,2021-04-27,6,2.6,3.0,5.0774e-13,1.9021e-13,5.0774e-13,1.9021e-13,0.50774,0.19021,1e-12,10.56,OK
Mkn421,day,2021-04-28_2021-04-28,59332.5,2021-04-28,2021-04-28,6,2.6,3.0,6.4332e-13,1.9508e-13,6.4332e-13,1.9508e-13,0.64332,0.19508,1e-12,15.0,OK
Mkn421,day,2021-04-29_2021-04-29,59333.5,2021-04-29,2021-04-29,6,2.6,3.0,7.1377e-13,1.9215e-13,7.1377e-13,1.9215e-13,0.71377,0.19215,1e-12,19.42,OK
Mkn421,day,2021-04-30_2021-04-30,59334.5,2021-04-30,2021-04-30,6,2.6,3.0,5.7275e-13,1.7424e-13,5.7275e-13,1.7424e-13,0.57275,0.17424,1e-12,16.32,OK
Mkn421,day,2021-05-01_2021-05-01,59335.5,2021-05-01,2021-05-01,6,2.6,3.0,6.6597e-13,1.6793e-13,6.6597e-13,1.6793e-13,0.66597,0.16793,1e-12,24.33,OK
Mkn421,day,2021-05-02_2021-05-02,59336.5,2021-05-02,2021-05-02,6,2.6,3.0,2.2653e-13,1.5521e-13,2.2653e-13,1.5521e-13,0.22653,0.15521,1e-12,2.52,OK
Mkn421,day,2021-05-03_2021-05-03,59337.5,2021-05-03,2021-05-03,6,2.6,3.0,8.73e-13,1.9174e-13,8.73e-13,1.9174e-13,0.873,0.19174,1e-12,36.77,OK
Mkn421,day,2021-05-04_2021-05-04,59338.5,2021-05-04,2021-05-04,6,2.6,3.0,1.5653e-13,1.4235e-13,1.5653e-13,1.4235e-13,0.15653,0.14235,1e-12,1.48,OK
Mkn421,day,2021-05-05_2021-05-05,59339.5,2021-05-05,2021-05-05,6,2.6,3.0,2.8729e-13,1.5674e-13,2.8729e-13,1.5674e-13,0.28729,0.15674,1e-12,5.17,OK
Mkn421,day,2021-05-06_2021-05-06,59340.5,2021-05-06,2021-05-06,6,2.6,3.0,2.3945e-13,1.369e-13,2.3945e-13,1.369e-13,0.23945,0.1369,1e-12,5.21,OK
Mkn421,day,2021-05-07_2021-05-07,59341.5,2021-05-07,2021-05-07,6,2.6,3.0,6.0125e-13,1.6013e-13,6.0125e-13,1.6013e-13,0.60125,0.16013,1e-12,22.61,OK
