source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,week,2021-10-04_2021-10-10,59494.5,2021-10-04,2021-10-10,38,2.6,3.0,5.0285e-13,5.995e-14,5.0285e-13,5.995e-14,0.50285,0.05995,1e-12,111.3,OK
Mkn421,week,2021-10-11_2021-10-17,59501.5,2021-10-11,2021-10-17,41,2.6,3.0,2.5233e-13,5.826e-14,2.5233e-13,5.826e-14,0.25233,0.05826,1e-12,24.75,OK
Mkn421,week,2021-10-18_2021-10-24,59508.5,2021-10-18,2021-10-24,42,2.6,3.0,5.8795e-13,6.369e-14,5.8795e-13,6.369e-14,0.58795,0.06369,1e-12,130.19,OK
Mkn421,week,2021-10-25_2021-10-31,59515.5,2021-10-25,2021-10-31,42,2.6,3.0,5.9302e-13,5.889e-14,5.9302e-13,5.889e-14,0.59302,0.05889,1e-12,151.91,OK
Mkn421,week,2021-11-01_2021-11-07,59522.5,2021-11-01,2021-11-07,41,2.6,3.0,2.2639e-13,5.575e-14,2.2639e-13,5.575e-14,0.22639,0.05575,1e-12,20.23,OK
Mkn421,week,2021-11-08_2021-11-14,59529.5,2021-11-08,2021-11-14,41,2.6,3.0,3.1164e-13,5.722e-14,3.1164e-13,5.722e-14,0.31164,0.05722,1e-12,41.28,OK
Mkn421,week,2021-11-15_2021-11-21,59536.5,2021-11-15,2021-11-21,42,2.6,3.0,1.6281e-13,5.04e-14,1.6281e-13,5.04e-14,0.16281,0.0504,1e-12,12.54,OK
Mkn421,week,2021-11-22_2021-11-28,59543.5,2021-11-22,2021-11-28,42,2.6,3.0,2.8863e-13,5.448e-14,2.8863e-13,5.448e-14,0.28863,0.05448,1e-12,36.6,OK
Mkn421,week,2021-11-29_2021-12-05,59550.5,2021-11-29,2021-12-05,41,2.6,3.0,4.6362e-13,5.637e-14,4.6362e-13,5.637e-14,0.46362,0.05637,1e-12,99.02,OK
Mkn421,week,2021-12-06_2021-12-12,59557.5,2021-12-06,2021-12-12,42,2.6,3.0,2.7573e-13,5.383e-14,2.7573e-13,5.383e-14,0.27573,0.05383,1e-12,33.32,OK
Mkn421,week,2021-12-13_2021-12-19,59564.5,2021-12-13,2021-12-19,40,2.6,3.0,3.5168e-13,5.442e-14,3.5168e-13,5.442e-14,0.35168,0.05442,1e-12,58.8,OK
Mkn421,week,2021-12-20_2021-12-26,59571.5,2021-12-20,2021-12-26,42,2.6,3.0,4.5045e-13,6.016e-14,4.5045e-13,6.016e-14,0.45045,0.06016,1e-12,75.19,OK
Mkn421,week,2021-12-27_2022-01-02,59578.5,2021-12-27,2022-01-02,42,2.6,3.0,8.702e-13,6.409e-14,8.702e-13,6.409e-14,0.8702,0.06409,1e-12,288.06,OK
Mkn421,week,2022-01-03_2022-01-09,59585.5,2022-01-03,2022-01-09,42,2.6,3.0,6.6416e-13,6.338e-14,6.6416e-13,6.338e-14,0.66416,0.06338,1e-12,158.95,OK
Mkn421,week,2022-01-10_2022-01-16,59592.5,2022-01-10,2022-01-16,42,2.6,3.0,9.2058e-13,6.553e-14,9.2058e-13,6.553e-14,0.92058,0.06553,1e-12,321.0,OK
Mkn421,week,2022-01-17_2022-01-23,59599.5,2022-01-17,2022-01-23,40,2.6,3.0,1.75829e-12,7.493e-14,1.75829e-12,7.493e-14,1.75829,0.07493,1e-12,967.98,OK
Mkn421,week,2022-01-24_2022-01-30,59606.5,2022-01-24,2022-01-30,42,2.6,3.0,5.8554e-13,5.947e-14,5.8554e-13,5.947e-14,0.58554,0.05947,1e-12,141.37,OK
Mkn421,week,2022-01-31_2022-02-06,59613.5,2022-01-31,2022-02-06,42,2.6,3.0,4.5553e-13,5.944e-14,4.5553e-13,5.944e-14,0.45553,0.05944,1e-12,80.52,OK
Mkn421,week,2022-02-07_2022-02-13,59620.5,2022-02-07,2022-02-13,41,2.6,3.0,6.0989e-13,6.266e-14,6.0989e-13,6.266e-14,0.60989,0.06266,1e-12,131.97,OK
Mkn421,week,2022-02-14_2022-02-20,59627.5,2022-02-14,2022-02-20,33,2.6,3.0,4.1483e-13,5.902e-14,4.1483e-13,5.902e-14,0.41483,0.05902,1e-12,65.51,OK
Mkn421,week,2022-02-21_2022-02-27,59634.5,2022-02-21,2022-02-27,38,2.6,3.0,2.0219e-13,5.132e-14,2.0219e-13,5.132e-14,0.20219,0.05132,1e-12,19.04,OK
Mkn421,week,2022-02-28_2022-03-06,59641.5,2022-02-28,2022-03-06,42,2.6,3.0,3.5562e-13,5.533e-14,3.5562e-13,5.533e-14,0.35562,0.05533,1e-12,54.68,OK
Mkn421,week,2022-03-07_2022-03-13,59648.5,2022-03-07,2022-03-13,41,2.6,3.0,2.5405e-13,5.242e-14,2.5405e-13,5.242e-14,0.25405,0.05242,1e-12,32.18,OK
Mkn421,week,2022-03-14_2022-03-20,59655.5,2022-03-14,2022-03-20,42,2.6,3.0,1.009e-14,3.462e-14,1.009e-14,3.462e-14,0.01009,0.03462,1e-12,0.09,OK
Mkn421,week,2022-03-21_2022-03-27,59662.5,2022-03-21,2022-03-27,42,2.6,3.0,1.4905e-13,4.685e-14,1.4905e-13,4.685e-14,0.14905,0.04685,1e-12,12.33,OK
Mkn421,week,2022-03-28_2022-04-03,59669.5,2022-03-28,2022-04-03,41,2.6,3.0,2.6881e-13,5.156e-14,2.6881e-13,5.156e-14,0.26881,0.05156,1e-12,34.72,OK
Mkn421,week,2022-04-04_2022-04-10,59676.5,2022-04-04,2022-04-10,38,2.6,3.0,4.645e-13,5.192e-14,4.645e-13,5.192e-14,0.4645,0.05192,1e-12,118.49,OK
Mkn421,week,2022-04-11_2022-04-17,59683.5,2022-04-11,2022-04-17,42,2.6,3.0,3.1379e-13,5.186e-14,3.1379e-13,5.186e-14,0.31379,0.05186,1e-12,48.63,OK
Mkn421,week,2022-04-18_2022-04-24,59690.5,2022-04-18,2022-04-24,40,2.6,3.0,8.067e-14,4.085e-14,8.067e-14,4.085e-14,0.08067,0.04085,1e-12,4.67,OK
Mkn421,week,2022-04-25_2022-05-01,59697.5,2022-04-25,2022-05-01,34,2.6,3.0,2.1095e-13,4.984e-14,2.1095e-13,4.984e-14,0.21095,0.04984,1e-12,23.82,OK
Mkn421,week,2022-05-02_2022-05-08,59704.5,2022-05-02,2022-05-08,41,2.6,3.0,3.7444e-13,5.466e-14,3.7444e-13,5.466e-14,0.37444,0.05466,1e-12,67.11,OK
