source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,day,2021-04-02_2021-04-02,59306.5,2021-04-02,2021-04-02,1,2.6,3.0,0.0,2.9982597e-10,0.0,2.9982597e-10,0.0,299.82597,1e-12,-0.0,OK
Mkn421,day,2021-04-07_2021-04-07,59311.5,2021-04-07,2021-04-07,6,2.6,3.0,3.66e-15,8.5754e-13,3.66e-15,8.5754e-13,0.00366,0.85754,1e-12,0.0,OK
Mkn421,day,2021-09-14_2021-09-14,59471.5,2021-09-14,2021-09-14,4,2.6,3.0,0.0,3.7753233e-10,0.0,3.7753233e-10,0.0,377.53233,1e-12,-0.0,OK
Mkn421,day,2021-09-23_2021-09-23,59480.5,2021-09-23,2021-09-23,6,2.6,3.0,0.0,2.1856e-12,0.0,2.1856e-12,0.0,2.1856,1e-12,-0.0,OK
Mkn421,day,2021-09-24_2021-09-24,59481.5,2021-09-24,2021-09-24,5,2.6,3.0,1.1978e-13,9.7955e-13,1.1978e-13,9.7955e-13,0.11978,0.97955,1e-12,0.03,OK
Mkn421,day,2021-10-16_2021-10-16,59503.5,2021-10-16,2021-10-16,5,2.6,3.0,3.29977e-12,2.11665e-12,3.29977e-12,2.11665e-12,3.29977,2.11665,1e-12,3.21,OK
Mkn421,day,2023-08-15_2023-08-15,60171.5,2023-08-15,2023-08-15,4,2.6,3.0,7.5774e-13,1.6459e-12,7.5774e-13,1.6459e-12,0.75774,1.6459,1e-12,0.24,OK
Mkn421,day,2023-08-18_2023-08-18,60174.5,2023-08-18,2023-08-18,4,2.6,3.0,5.01075e-12,3.42303e-12,5.01075e-12,3.42303e-12,5.01075,3.42303,1e-12,4.43,OK
Mkn421,day,2023-08-19_2023-08-19,60175.5,2023-08-19,2023-08-19,4,2.6,3.0,0.0,2.24132e-12,0.0,2.24132e-12,0.0,2.24132,1e-12,-0.0,OK
Mkn421,day,2023-08-20_2023-08-20,60176.5,2023-08-20,2023-08-20,4,2.6,3.0,0.0,5.62792e-12,0.0,5.62792e-12,0.0,5.62792,1e-12,-0.0,OK
Mkn421,day,2023-08-21_2023-08-21,60177.5,2023-08-21,2023-08-21,4,2.6,3.0,6.7532e-13,2.40938e-12,6.7532e-13,2.40938e-12,0.67532,2.40938,1e-12,0.09,OK
Mkn421,day,2023-08-22_2023-08-22,60178.5,2023-08-22,2023-08-22,3,2.6,3.0,0.0,2.52533e-12,0.0,2.52533e-12,0.0,2.52533,1e-12,-0.0,OK
Mkn421,day,2024-05-30_2024-05-30,60460.5,2024-05-30,2024-05-30,2,2.6,3.0,0.0,2.6076395e-10,0.0,2.6076395e-10,0.0,260.76395,1e-12,-0.0,OK
Mkn421,day,2024-07-10_2024-07-10,60501.5,2024-07-10,2024-07-10,2,2.6,3.0,9.999999999999999e-18,5.084162e-11,9.999999999999999e-18,5.084162e-11,1e-05,50.84162,1e-12,-0.0,OK
Mkn421,day,2024-08-19_2024-08-19,60541.5,2024-08-19,2024-08-19,4,2.6,3.0,0.0,1.231468e-11,0.0,1.231468e-11,0.0,12.31468,1e-12,-0.0,OK
Mkn421,day,2025-04-15_2025-04-15,60780.5,2025-04-15,2025-04-15,6,2.6,3.0,2.31e-15,8.5302e-13,2.31e-15,8.5302e-13,0.00231,0.85302,1e-12,0.0,OK
Mkn421,day,2025-07-23_2025-07-23,60879.5,2025-07-23,2025-07-23,4,2.6,3.0,2.3703e-13,1.49579e-12,2.3703e-13,1.49579e-12,0.23703,1.49579,1e-12,0.04,OK
Mkn421,day,2025-07-27_2025-07-27,60883.5,2025-07-27,2025-07-27,3,2.6,3.0,0.0,8.5061e-13,0.0,8.5061e-13,0.0,0.85061,1e-12,-0.0,OK
