source_id,source,series,method,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,global_exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
mkn421,Mrk 421,wcda_weekly,CWT,129.86979837130292,14.174453409890832,2.9647371116477736,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,11.370690796021458,14.095103730337833,False,False,0,0,0,,,0.736512140761136,Quick-look candidate peak; no source/method/survey trial correction.
mkn421,Mrk 421,wcda_weekly,CWT,367.32726039871164,5.011426062873296,4.486214898079019,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,14.675223815591657,20.0422281411945,False,False,0,0,0,,,0.736512140761136,Quick-look candidate peak; no source/method/survey trial correction.
mkn421,Mrk 421,wcda_weekly,WWZ,135.67407520658455,13.568055677276583,4.6339484183178765,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.46653346653346656,0.998001998001998,0.5334665334665334,0.0019980019980020414,7.442409917561457,9.23219931235107,False,False,1000,466,998,122.1066676859261,149.241482727243,0.736512140761136,Quick-look candidate peak; no source/method/survey trial correction.
mkn421,Mrk 421,wcda_weekly,WWZ,363.2228064540831,5.068055677276583,5.176936173181033,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.6243756243756243,0.994005994005994,0.3756243756243757,0.005994005994006013,15.564978037314505,21.79403720054497,False,False,1000,624,994,326.90052580867484,399.54508709949147,0.736512140761136,Quick-look candidate peak; no source/method/survey trial correction.
mkn501,Mrk 501,wcda_weekly,CWT,137.59225844627835,13.378902469899396,1.2702726231338353,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.6873270514802012,4.593370104124425,False,False,0,0,0,,,0.3568319356839274,Quick-look candidate peak; no source/method/survey trial correction.
mkn501,Mrk 501,wcda_weekly,CWT,389.1696759445418,4.730156330649656,4.407012636313829,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,4.766069198745741,6.545371371019747,False,False,0,0,0,,,0.3568319356839274,Quick-look candidate peak; no source/method/survey trial correction.
mkn501,Mrk 501,wcda_weekly,WWZ,61.22222953568387,30.068055677276583,1.7832076065220488,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.5164835164835165,1.0,0.48351648351648346,0.0,2.5004815258013386,2.983899856015171,False,False,1000,516,1000,55.10000658211548,67.34445248925226,0.3568319356839274,Quick-look candidate peak; no source/method/survey trial correction.
mkn501,Mrk 501,wcda_weekly,WWZ,140.86513340824578,13.068055677276583,1.7609044713042799,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.7112887112887113,1.0,0.2887112887112887,0.0,3.665285707455959,4.691536234312915,False,False,1000,711,1000,126.7786200674212,154.95164674907036,0.3568319356839274,Quick-look candidate peak; no source/method/survey trial correction.
mkn501,Mrk 501,wcda_weekly,WWZ,402.9796343164169,4.5680556772765835,6.3853065312756545,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.030969030969030968,0.11888111888111888,0.9690309690309691,0.8811188811188811,5.233294845324552,7.72602018773979,True,False,1000,30,118,362.6816708847752,443.2775977480586,0.3568319356839274,Quick-look candidate peak; no source/method/survey trial correction.
1es1959p650,1ES 1959+650,wcda_weekly,CWT,327.2513854272149,5.625135563483735,4.873766617860989,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.840315523561311,3.835902334550569,True,True,0,0,0,,,0.13548499782695478,Quick-look candidate peak; no source/method/survey trial correction.
1es1959p650,1ES 1959+650,wcda_weekly,WWZ,330.60614208267543,5.568055677276583,5.27415667699693,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.006993006993006993,0.026973026973026972,0.993006993006993,0.973026973026973,3.081248419798805,3.905977379452691,True,True,1000,6,26,297.5455278744079,363.666756290943,0.13548499782695478,Quick-look candidate peak; no source/method/survey trial correction.
