source_id,source,series,requested_start_mjd,requested_end_mjd,actual_start_mjd,actual_end_mjd,n_points,median_dt_days,method,target_type,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,local_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
mkn421,Mrk 421,wcda_weekly_window,59500.0,60500.0,59501.16663148133,60495.16677083331,143,6.99999751159703,CWT,window strongest peak,308.88420458919603,3.2180348641458263,4.0255357859472625,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,13.448180173236729,19.127535578027537,False,False,0,0,,,0.6893294365534085,"Fixed-window local-only result; no window-search, source, method, or period-search trial correction. Fewer than four observed cycles; treat as candidate/hint, not robust QPO detection."
mkn421,Mrk 421,wcda_weekly_window,59500.0,60500.0,59501.16663148133,60495.16677083331,143,6.99999751159703,WWZ,window strongest peak,314.88914452521846,3.156666898919975,5.49898661163378,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.3676323676323676,0.6323676323676324,14.390838393320177,20.179728670982737,False,False,1000,367,283.4002300726966,346.37805897774035,0.6893294365534085,"Fixed-window local-only result; no window-search, source, method, or period-search trial correction. Fewer than four observed cycles; treat as candidate/hint, not robust QPO detection."
mkn421,Mrk 421,wcda_weekly_window,59500.0,60500.0,59501.16663148133,60495.16677083331,143,6.99999751159703,CWT,pre-specified 140 d band,145.7739331524295,6.818778349848063,3.857176623713938,Target-band max global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,11.18677408593329,14.823876508305363,False,False,0,0,126.0,154.0,0.6893294365534085,"Fixed-window local-only result; no window-search, source, method, or period-search trial correction. Targeted check for pre-specified 140 d band."
mkn421,Mrk 421,wcda_weekly_window,59500.0,60500.0,59501.16663148133,60495.16677083331,143,6.99999751159703,WWZ,pre-specified 140 d band,149.32400170320358,6.656666898919974,5.130037185790359,Target-band max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.35264735264735264,0.6473526473526474,8.732634992600163,12.49077901217029,False,False,1000,352,126.0,154.0,0.6893294365534085,"Fixed-window local-only result; no window-search, source, method, or period-search trial correction. Targeted check for pre-specified 140 d band."
