source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
mkn421,Mkn421,2021-10-11_2021-10-17,week,59501.5,2021-10-11,2021-10-17,2.5233e-13,5.826e-14,0.25233,0.05826,1e-12,24.75,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2021-10-18_2021-10-24,week,59508.5,2021-10-18,2021-10-24,5.8795e-13,6.369e-14,0.58795,0.06369,1e-12,130.19,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2021-10-25_2021-10-31,week,59515.5,2021-10-25,2021-10-31,5.9302e-13,5.889e-14,0.59302,0.05889,1e-12,151.91,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2021-11-01_2021-11-07,week,59522.5,2021-11-01,2021-11-07,2.2639e-13,5.575e-14,0.22639,0.05575,1e-12,20.23,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2021-11-08_2021-11-14,week,59529.5,2021-11-08,2021-11-14,3.1164e-13,5.722e-14,0.31164,0.05722,1e-12,41.28,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2021-11-15_2021-11-21,week,59536.5,2021-11-15,2021-11-21,1.6281e-13,5.04e-14,0.16281,0.0504,1e-12,12.54,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2021-11-22_2021-11-28,week,59543.5,2021-11-22,2021-11-28,2.8863e-13,5.448e-14,0.28863,0.05448,1e-12,36.6,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2021-11-29_2021-12-05,week,59550.5,2021-11-29,2021-12-05,4.6362e-13,5.637e-14,0.46362,0.05637,1e-12,99.02,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2021-12-06_2021-12-12,week,59557.5,2021-12-06,2021-12-12,2.7573e-13,5.383e-14,0.27573,0.05383,1e-12,33.32,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2021-12-13_2021-12-19,week,59564.5,2021-12-13,2021-12-19,3.5168e-13,5.442e-14,0.35168,0.05442,1e-12,58.8,2.6,3.0,40,OK,OK,True
mkn421,Mkn421,2021-12-20_2021-12-26,week,59571.5,2021-12-20,2021-12-26,4.5045e-13,6.016e-14,0.45045,0.06016,1e-12,75.19,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2021-12-27_2022-01-02,week,59578.5,2021-12-27,2022-01-02,8.702e-13,6.409e-14,0.8702,0.06409,1e-12,288.06,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-01-03_2022-01-09,week,59585.5,2022-01-03,2022-01-09,6.6416e-13,6.338e-14,0.66416,0.06338,1e-12,158.95,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-01-10_2022-01-16,week,59592.5,2022-01-10,2022-01-16,9.2058e-13,6.553e-14,0.92058,0.06553,1e-12,321.0,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-01-17_2022-01-23,week,59599.5,2022-01-17,2022-01-23,1.75829e-12,7.493e-14,1.75829,0.07493,1e-12,967.98,2.6,3.0,40,OK,OK,True
mkn421,Mkn421,2022-01-24_2022-01-30,week,59606.5,2022-01-24,2022-01-30,5.8554e-13,5.947e-14,0.58554,0.05947,1e-12,141.37,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-01-31_2022-02-06,week,59613.5,2022-01-31,2022-02-06,4.5553e-13,5.944e-14,0.45553,0.05944,1e-12,80.52,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-02-07_2022-02-13,week,59620.5,2022-02-07,2022-02-13,6.0989e-13,6.266e-14,0.60989,0.06266,1e-12,131.97,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2022-02-14_2022-02-20,week,59627.5,2022-02-14,2022-02-20,4.1483e-13,5.902e-14,0.41483,0.05902,1e-12,65.51,2.6,3.0,33,OK,OK,True
mkn421,Mkn421,2022-02-21_2022-02-27,week,59634.5,2022-02-21,2022-02-27,2.0219e-13,5.132e-14,0.20219,0.05132,1e-12,19.04,2.6,3.0,38,OK,OK,True
mkn421,Mkn421,2022-02-28_2022-03-06,week,59641.5,2022-02-28,2022-03-06,3.5562e-13,5.533e-14,0.35562,0.05533,1e-12,54.68,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-03-07_2022-03-13,week,59648.5,2022-03-07,2022-03-13,2.5405e-13,5.242e-14,0.25405,0.05242,1e-12,32.18,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2022-03-14_2022-03-20,week,59655.5,2022-03-14,2022-03-20,1.009e-14,3.462e-14,0.01009,0.03462,1e-12,0.09,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-03-21_2022-03-27,week,59662.5,2022-03-21,2022-03-27,1.4905e-13,4.685e-14,0.14905,0.04685,1e-12,12.33,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2022-03-28_2022-04-03,week,59669.5,2022-03-28,2022-04-03,2.6881e-13,5.156e-14,0.26881,0.05156,1e-12,34.72,2.6,3.0,41,OK,OK,True
