source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
4c_p42d22,4C_p42d22,2021-10-04_2021-10-10,week,59494.5,2021-10-04,2021-10-10,1.862e-14,3.692e-14,0.01862,0.03692,1e-12,0.29,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-10-11_2021-10-17,week,59501.5,2021-10-11,2021-10-17,0.0,1.376e-14,0.0,0.01376,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-10-18_2021-10-24,week,59508.5,2021-10-18,2021-10-24,0.0,9.19e-14,0.0,0.0919,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-10-25_2021-10-31,week,59515.5,2021-10-25,2021-10-31,4.147e-14,4.156e-14,0.04147,0.04156,1e-12,1.18,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-11-01_2021-11-07,week,59522.5,2021-11-01,2021-11-07,0.0,6.127e-14,0.0,0.06127,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-11-08_2021-11-14,week,59529.5,2021-11-08,2021-11-14,0.0,1.5785e-13,0.0,0.15785,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-11-15_2021-11-21,week,59536.5,2021-11-15,2021-11-21,0.0,2.561e-14,0.0,0.02561,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-11-22_2021-11-28,week,59543.5,2021-11-22,2021-11-28,5.662e-14,3.898e-14,0.05662,0.03898,1e-12,2.78,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-11-29_2021-12-05,week,59550.5,2021-11-29,2021-12-05,1.229e-14,3.828e-14,0.01229,0.03828,1e-12,0.11,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-12-06_2021-12-12,week,59557.5,2021-12-06,2021-12-12,0.0,2.312e-14,0.0,0.02312,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-12-13_2021-12-19,week,59564.5,2021-12-13,2021-12-19,0.0,1.353e-14,0.0,0.01353,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-12-20_2021-12-26,week,59571.5,2021-12-20,2021-12-26,6.25e-15,4.877e-14,0.00625,0.04877,1e-12,0.03,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-12-27_2022-01-02,week,59578.5,2021-12-27,2022-01-02,2.856e-14,4.172e-14,0.02856,0.04172,1e-12,0.5,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-01-03_2022-01-09,week,59585.5,2022-01-03,2022-01-09,0.0,1.943e-14,0.0,0.01943,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-01-10_2022-01-16,week,59592.5,2022-01-10,2022-01-16,5.298e-14,4.039e-14,0.05298,0.04039,1e-12,2.04,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-01-17_2022-01-23,week,59599.5,2022-01-17,2022-01-23,0.0,2.59e-14,0.0,0.0259,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-01-24_2022-01-30,week,59606.5,2022-01-24,2022-01-30,1.724e-14,4.454e-14,0.01724,0.04454,1e-12,0.15,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-01-31_2022-02-06,week,59613.5,2022-01-31,2022-02-06,5.1e-14,4.98e-14,0.051,0.0498,1e-12,1.12,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-02-07_2022-02-13,week,59620.5,2022-02-07,2022-02-13,3.16e-15,7.235e-14,0.00316,0.07235,1e-12,0.01,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-02-14_2022-02-20,week,59627.5,2022-02-14,2022-02-20,4.15e-14,1.239e-14,0.0415,0.01239,1e-12,1.13,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-02-21_2022-02-27,week,59634.5,2022-02-21,2022-02-27,4.796e-14,3.692e-14,0.04796,0.03692,1e-12,2.15,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-02-28_2022-03-06,week,59641.5,2022-02-28,2022-03-06,6.876e-14,4.413e-14,0.06876,0.04413,1e-12,2.95,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-03-07_2022-03-13,week,59648.5,2022-03-07,2022-03-13,2.749e-14,3.54e-14,0.02749,0.0354,1e-12,0.77,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-03-14_2022-03-20,week,59655.5,2022-03-14,2022-03-20,2.202e-14,3.432e-14,0.02202,0.03432,1e-12,0.46,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2022-03-21_2022-03-27,week,59662.5,2022-03-21,2022-03-27,8.842e-14,3.995e-14,0.08842,0.03995,1e-12,6.57,2.6,3.0,1,OK,OK,True
