source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
Mkn501,day,2021-03-08_2021-03-08,59281.50000000,2021-03-08,2021-03-08,3,2.6,3.0,1,114.46473,1e-12,1.00000000e-12,1.14464730e-10,0,NotOK,NotOK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-08_2021-03-08.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-08_2021-03-08/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-08_2021-03-08/fit.log
Mkn501,day,2021-03-09_2021-03-09,59282.50000000,2021-03-09,2021-03-09,6,2.6,3.0,0.00666,0.53325,1e-12,6.66000000e-15,5.33250000e-13,0,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-09_2021-03-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-09_2021-03-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-09_2021-03-09/fit.log
Mkn501,day,2021-03-10_2021-03-10,59283.50000000,2021-03-10,2021-03-10,6,2.6,3.0,0.24139,0.13578,1e-12,2.41390000e-13,1.35780000e-13,5.27,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-10_2021-03-10.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-10_2021-03-10/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-10_2021-03-10/fit.log
Mkn501,day,2021-03-11_2021-03-11,59284.50000000,2021-03-11,2021-03-11,5,2.6,3.0,1e-05,0.32268,1e-12,1.00000000e-17,3.22680000e-13,-0,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-11_2021-03-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-11_2021-03-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-11_2021-03-11/fit.log
Mkn501,day,2021-03-12_2021-03-12,59285.50000000,2021-03-12,2021-03-12,6,2.6,3.0,0.19812,0.13572,1e-12,1.98120000e-13,1.35720000e-13,2.68,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-12_2021-03-12.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-12_2021-03-12/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-12_2021-03-12/fit.log
Mkn501,day,2021-03-13_2021-03-13,59286.50000000,2021-03-13,2021-03-13,5,2.6,3.0,0,0.27125,1e-12,0.00000000e+00,2.71250000e-13,-0,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-13_2021-03-13.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-13_2021-03-13/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-13_2021-03-13/fit.log
Mkn501,day,2021-03-14_2021-03-14,59287.50000000,2021-03-14,2021-03-14,1,2.6,3.0,1,114.46473,1e-12,1.00000000e-12,1.14464730e-10,0,NotOK,NotOK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-14_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-14_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-14_2021-03-14/fit.log
Mkn501,day,2021-03-15_2021-03-15,59288.50000000,2021-03-15,2021-03-15,6,2.6,3.0,0.17411,0.13638,1e-12,1.74110000e-13,1.36380000e-13,2.08,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-15_2021-03-15.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-15_2021-03-15/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-15_2021-03-15/fit.log
Mkn501,day,2021-03-16_2021-03-16,59289.50000000,2021-03-16,2021-03-16,4,2.6,3.0,0.31277,0.13066,1e-12,3.12770000e-13,1.30660000e-13,8.84,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-16_2021-03-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-16_2021-03-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-16_2021-03-16/fit.log
Mkn501,day,2021-03-17_2021-03-17,59290.50000000,2021-03-17,2021-03-17,4,2.6,3.0,0.11489,0.13719,1e-12,1.14890000e-13,1.37190000e-13,0.78,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-17_2021-03-17.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-17_2021-03-17/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-17_2021-03-17/fit.log
Mkn501,day,2021-03-18_2021-03-18,59291.50000000,2021-03-18,2021-03-18,3,2.6,3.0,1,114.46473,1e-12,1.00000000e-12,1.14464730e-10,0,NotOK,NotOK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-18_2021-03-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-18_2021-03-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-18_2021-03-18/fit.log
Mkn501,day,2021-03-19_2021-03-19,59292.50000000,2021-03-19,2021-03-19,4,2.6,3.0,0.41634,0.16066,1e-12,4.16340000e-13,1.60660000e-13,9.12,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-19_2021-03-19.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-19_2021-03-19/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-19_2021-03-19/fit.log
Mkn501,day,2021-03-20_2021-03-20,59293.50000000,2021-03-20,2021-03-20,3,2.6,3.0,0.34348,0.28859,1e-12,3.43480000e-13,2.88590000e-13,2.02,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-20_2021-03-20.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-20_2021-03-20/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-20_2021-03-20/fit.log
Mkn501,day,2021-03-21_2021-03-21,59294.50000000,2021-03-21,2021-03-21,3,2.6,3.0,0.09268,0.17542,1e-12,9.26800000e-14,1.75420000e-13,0.3,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-21_2021-03-21.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-21_2021-03-21/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-21_2021-03-21/fit.log
Mkn501,day,2021-03-22_2021-03-22,59295.50000000,2021-03-22,2021-03-22,3,2.6,3.0,0.15977,0.1631,1e-12,1.59770000e-13,1.63100000e-13,1.14,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-22_2021-03-22.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-22_2021-03-22/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-22_2021-03-22/fit.log
Mkn501,day,2021-03-23_2021-03-23,59296.50000000,2021-03-23,2021-03-23,6,2.6,3.0,0.30495,0.14313,1e-12,3.04950000e-13,1.43130000e-13,6.34,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-23_2021-03-23.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-23_2021-03-23/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-23_2021-03-23/fit.log
Mkn501,day,2021-03-24_2021-03-24,59297.50000000,2021-03-24,2021-03-24,6,2.6,3.0,0.18527,0.12529,1e-12,1.85270000e-13,1.25290000e-13,3.05,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-24_2021-03-24.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-24_2021-03-24/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-24_2021-03-24/fit.log
Mkn501,day,2021-03-25_2021-03-25,59298.50000000,2021-03-25,2021-03-25,6,2.6,3.0,0.01728,0.21088,1e-12,1.72800000e-14,2.10880000e-13,0.02,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-25_2021-03-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-25_2021-03-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-25_2021-03-25/fit.log
Mkn501,day,2021-03-26_2021-03-26,59299.50000000,2021-03-26,2021-03-26,5,2.6,3.0,0,0.2933,1e-12,0.00000000e+00,2.93300000e-13,-0,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-26_2021-03-26.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-26_2021-03-26/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-26_2021-03-26/fit.log
Mkn501,day,2021-03-27_2021-03-27,59300.50000000,2021-03-27,2021-03-27,5,2.6,3.0,0,0.1679,1e-12,0.00000000e+00,1.67900000e-13,-0,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-27_2021-03-27.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-27_2021-03-27/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-27_2021-03-27/fit.log
Mkn501,day,2021-03-28_2021-03-28,59301.50000000,2021-03-28,2021-03-28,5,2.6,3.0,0.4002,0.22862,1e-12,4.00200000e-13,2.28620000e-13,6.77,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-28_2021-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-28_2021-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn501/day/2021-03-28_2021-03-28/fit.log
