# ra : 166.114
# dec : 38.209
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2025-03-29_2025-03-29,60763.16682997689,"[6357.0, 776.0, 65.0, 5.0, 2.0, 0.0, 0.0]","[6133.179827500402, 714.7071027024954, 71.82535145101538, 4.476766585583383, 1.1526659946046418, 0.08199851655842759, 0.026233177235303905]","[11083235.065138819, 1290980.8021814928, 129502.22538903952, 8092.557698212563, 2085.6679046842723, 173.6955843486544, 49.86565200982291]",29131.0
2025-03-30_2025-03-30,60764.16684016195,"[6122.0, 729.0, 74.0, 3.0, 3.0, 0.0, 0.0]","[6019.680736484169, 703.8677688211202, 69.66161288473529, 4.844171772801954, 1.136106259517911, 0.07670495120412425, 0.04500632569795083]","[10920900.076493055, 1275210.4018196883, 126179.34936252465, 8794.527442498038, 2024.2894137196865, 125.38952552723394, 82.59163035271814]",29155.1
2025-03-31_2025-03-31,60765.16690254562,"[6073.0, 754.0, 93.0, 4.0, 1.0, 0.0, 0.0]","[6068.543949258288, 707.8509258419547, 70.32153782892179, 4.521929845996823, 1.1080045341522313, 0.09589038349995746, 0.024492668505337326]","[10982360.04753816, 1278727.7089996836, 126998.27944526593, 8181.2002082933395, 2020.3495811538305, 169.6662087875194, 45.710427387460896]",29121.2
2025-04-01_2025-04-01,60766.16693842585,"[6080.0, 737.0, 92.0, 7.0, 2.0, 0.0, 0.0]","[6069.271399877339, 712.8750946010748, 71.23716999334135, 4.987647286356733, 1.1619663190972984, 0.09698177861339431, 0.03241885971995898]","[10973264.351678034, 1288412.7492602062, 128632.00082104381, 8871.528210009716, 2100.4377670935955, 179.10744730198928, 63.90299983555083]",29069.6
2025-04-02_2025-04-02,60767.16675150507,"[6026.0, 728.0, 80.0, 5.0, 2.0, 1.0, 0.0]","[6004.763677778811, 705.5907082330218, 72.1125681894568, 4.483480391860557, 1.1363948650622235, 0.10280737350538251, 0.04596912257706529]","[10838081.386560952, 1273752.6727527562, 129629.77816175003, 8095.349465171978, 2019.9454447961011, 186.46147853191835, 71.3564815246903]",29084.9
2025-04-03_2025-04-03,60768.16668055568,"[5969.0, 766.0, 88.0, 4.0, 3.0, 0.0, 0.0]","[5991.211223823252, 703.8096661458334, 70.90617402399761, 4.642265767838339, 1.0872756430059352, 0.08652375088714918, 0.04544511741282242]","[10823684.396114076, 1270456.5352254782, 128244.2413390126, 8422.953480859089, 1975.8843690391598, 150.85011631475098, 64.7942982882188]",29097.2
2025-04-04_2025-04-04,60769.16658993025,"[6093.0, 703.0, 70.0, 7.0, 0.0, 0.0, 0.0]","[6014.424589711309, 700.8463260968489, 70.98418205301866, 4.772383080824357, 1.1746152799235101, 0.06607700765566417, 0.057681097928203695]","[10856381.445866128, 1263782.3643016373, 127769.46803187915, 8594.495624534984, 2099.592176034877, 122.67734238199263, 88.76408444567751]",29072.9
2025-04-05_2025-04-05,60770.16679108793,"[6119.0, 751.0, 65.0, 2.0, 1.0, 0.0, 0.0]","[6084.2067980552565, 713.2077090896272, 71.39648905430386, 4.806712747989215, 1.2479552390657964, 0.07130660342122537, 0.041992014736430966]","[10978735.16198863, 1285201.0575004476, 128767.23717483903, 8616.533631287704, 2285.29964625597, 144.04287288574116, 71.28185392291431]",29150.5
2025-04-06_2025-04-06,60771.16684594905,"[6063.0, 714.0, 100.0, 7.0, 2.0, 0.0, 0.0]","[5966.651691584006, 702.3166868585237, 72.13271689746189, 4.653869177786834, 1.076491186818078, 0.06656277860996643, 0.06181528128691492]","[10779215.887375174, 1268181.312288709, 129933.96901091213, 8302.348346598857, 1921.5832918828962, 120.12735787692041, 113.68650818590928]",29127.3
2025-04-07_2025-04-07,60772.16706030085,"[5907.0, 717.0, 71.0, 6.0, 1.0, 0.0, 0.0]","[5862.779767762984, 685.8514130470729, 70.44991137300003, 4.654951244531492, 1.050948278007994, 0.09991479197258205, 0.06449280682620742]","[10562652.939724484, 1234514.6347935342, 126779.02165376325, 8397.32260592129, 1885.3338166256194, 170.11786273299523, 102.12900008086048]",28996.3
2025-04-08_2025-04-08,60773.16701782409,"[5842.0, 640.0, 80.0, 3.0, 0.0, 0.0, 0.0]","[5868.157552841555, 684.2457525551469, 68.98235160915249, 4.638859216925209, 1.040881375810488, 0.06506657500219863, 0.02049935715431247]","[10583491.645322168, 1234770.8712869855, 124628.08814093757, 8336.155005875356, 1901.1032479911821, 116.96729742217349, 36.40561260032534]",29098.1
2025-04-09_2025-04-09,60774.1668180555,"[6074.0, 710.0, 84.0, 10.0, 1.0, 0.0, 0.0]","[5930.776204888423, 690.8820705770208, 69.46225120570335, 4.692756724259476, 0.9053452166215228, 0.0766654569468474, 0.03954524124435933]","[10703238.329909116, 1246663.763506573, 124810.92610560733, 8459.812863185869, 1600.3131375070534, 133.80371594290403, 70.89617091358257]",29076.1
2025-04-10_2025-04-10,60775.16665532406,"[6232.0, 780.0, 79.0, 7.0, 0.0, 0.0, 0.0]","[6116.090164730359, 711.4545732453925, 71.40993307431962, 4.343824555500256, 1.0695366202030026, 0.06874917336060143, 0.0327970383622917]","[11005037.10537075, 1280200.963306291, 128353.16581156437, 7791.430943099543, 1901.812479781138, 133.58450911101644, 67.0641119389805]",29096.1
2025-04-11_2025-04-11,60776.166505208486,"[6311.0, 802.0, 82.0, 3.0, 3.0, 1.0, 0.0]","[6213.263031656484, 719.2204427930924, 72.96355595913141, 4.518592960579364, 1.0550669225688294, 0.07364181088788051, 0.019998956573782808]","[11204385.424262635, 1297643.603786695, 131593.57886199286, 8162.979651251322, 1923.5894330086596, 126.09262193011347, 46.508232146166335]",29111.0
2025-04-12_2025-04-12,60777.166698494686,"[6089.0, 718.0, 91.0, 8.0, 1.0, 0.0, 0.0]","[6067.6341588933365, 707.4495323988515, 71.50461982637141, 4.610794541949959, 1.0100531659266971, 0.06371400969455131, 0.032173047286012155]","[10947268.96824327, 1275230.844170706, 128572.44873664378, 8342.206638111431, 1801.7197500437655, 117.61776898507016, 51.933100072113746]",29114.7
2025-04-13_2025-04-13,60778.16667928253,"[6119.0, 726.0, 78.0, 4.0, 3.0, 0.0, 0.0]","[5957.167176582908, 698.4791441160442, 69.70387191772292, 4.439715920648577, 1.0810675365605162, 0.08855316410013397, 0.0318854290089289]","[10769015.066400625, 1260689.7355959406, 125896.90519949475, 8048.210316106199, 1928.9334168060368, 157.13652194116113, 56.32418770709133]",29101.4
2025-04-14_2025-04-14,60779.16679919,"[6107.0, 742.0, 75.0, 6.0, 1.0, 1.0, 0.0]","[5962.819029539442, 694.7006248671119, 71.23762533965198, 5.019160548237776, 1.1451287892578015, 0.06679373210131172, 0.040028338852754086]","[10762900.695570007, 1252537.5754232418, 127961.25453813629, 8987.787560916953, 2050.6392877728163, 134.22674047897507, 60.50138528345887]",29106.0
2025-04-15_2025-04-15,60780.16681840256,"[6017.0, 734.0, 78.0, 3.0, 0.0, 0.0, 0.0]","[6002.43981082633, 700.006198718263, 71.58289795698305, 5.029129549632678, 1.0831792802384212, 0.12022349207043467, 0.03645083462743103]","[10812605.65874705, 1259920.9533315902, 128964.80386100769, 9043.03022079935, 1922.0124335348216, 205.6160352449555, 61.90743348219733]",29093.1
2025-04-16_2025-04-16,60781.1666174765,"[6079.0, 678.0, 85.0, 7.0, 3.0, 0.0, 0.0]","[6059.539662426086, 704.205651241751, 71.47997584135862, 4.853900344356814, 1.1276373026466746, 0.09954833405156889, 0.06316337552395675]","[10894616.062798208, 1265729.4740684417, 128408.37685416265, 8758.398403328907, 2042.5523603810939, 189.06920354417912, 104.85584458890473]",29062.0
2025-04-17_2025-04-17,60782.16642615729,"[6174.0, 737.0, 92.0, 7.0, 3.0, 0.0, 0.0]","[6110.964571893447, 705.3762435673287, 71.90731401752586, 4.833649633560138, 1.1905771908893048, 0.10136507872610413, 0.03499191984236762]","[10965917.875526937, 1265560.7457884243, 129330.98142845549, 8755.822632055704, 2142.452015086315, 183.54392276161158, 65.25697725278165]",29109.2
2025-04-18_2025-04-18,60783.166471180855,"[6093.0, 747.0, 84.0, 4.0, 1.0, 0.0, 0.0]","[6058.505481641066, 703.198960554856, 72.36578375018752, 4.712812449757167, 1.038705178902811, 0.07367554242681429, 0.026777896967699565]","[9605340.41695698, 1115710.4968545558, 115076.44618224699, 7471.599124958033, 1677.2345808257999, 118.239620846871, 53.548489460076894]",27553.6
2025-04-19_2025-04-19,60784.16626157413,"[6098.0, 753.0, 88.0, 7.0, 0.0, 1.0, 0.0]","[6055.318010196273, 701.3668692696162, 72.80585851085533, 4.705865344474932, 1.2138866692209527, 0.1571722744907285, 0.02062162155010897]","[10938194.476565033, 1266320.5778025433, 131065.31175509721, 8450.941986013151, 2162.4807407586595, 279.67117829279266, 48.06243370346734]",29075.7
