mjd,wcda_flux_excess,wcda_flux_excess_err
59284.33328206009,0.008310754178582088,0.0013252004280916944
59291.16655543972,0.008067239215912356,0.0012689653493676127
59298.16639849528,0.0057505159051114635,0.0011404772989080656
59305.16613796316,0.007081234005795518,0.001390298304873602
59312.16602650478,0.005188183165809106,0.0011550292664204759
59318.83206319419,0.009011995048548403,0.0013617797236550751
59326.32490347181,0.0028625144980691138,0.0011766678490917491
59333.15840833324,0.005613155472625258,0.0010909163573227592
59340.166622916775,0.005870924819816445,0.0011224122812311852
59347.16690069436,0.004922173962679871,0.0011492025616950008
59354.16703310164,0.0033921367191328566,0.0011294928687289821
59361.16682986069,0.002000218125538499,0.0011171791416042898
59368.16688032413,0.004252468760561764,0.001108652896347081
59375.16701273163,0.004378560684633422,0.001072770205673428
59382.16671944457,0.008454474979419828,0.0010957479541077535
59389.16656782394,0.0036403330017666536,0.0011907917617682833
59396.16681620365,0.0029917304446735364,0.0010998054131139733
59403.16680162038,0.0026151867596682196,0.0011215801059275355
59410.16673958351,0.0017813419156517028,0.0012745542500505545
59417.16679537053,0.0038005648514090207,0.0011353663303539712
59424.16695729188,0.007455964102085611,0.0015728363922020067
59431.16673773149,0.003593537093215288,0.0010784467625290846
59438.16700601812,0.001891100189351817,0.0010886622948283586
59445.16691111219,0.011330354343201616,0.0011087968253778381
59452.16672245379,0.007550312319830056,0.001174718832833829
59459.16678854192,0.009461462487391378,0.001087871384109467
59466.167044907554,0.006223501299183546,0.0011231781423039027
59473.16697187504,0.012291499621760047,0.0016565533727010556
59480.166958217735,0.0036675918937555557,0.0012779056872448485
59487.24986284722,0.004167212533781378,0.0011272263244508148
59494.25005740744,0.004157055676007723,0.0011516971250522673
59501.16663148133,0.005008288936459044,0.0011281186669713516
59508.16666423631,0.006636880988883421,0.001120394370292548
59515.1669280092,0.00423318564780696,0.0010773562566106665
59522.1668252314,0.003819040562037997,0.0011299493058076243
59529.16671238424,0.0025388185333706627,0.0011062678398386983
59536.16684085637,0.0032387273766988226,0.0010924702954466683
59543.166822106185,0.005089497735643794,0.0010817764037570714
59550.16697291678,0.0011366824021043524,0.0011356521039499997
59557.16690509248,0.0026166137270419378,0.0011117282110100948
59564.166788194445,0.002380087199311193,0.001095298078783435
59571.16683148157,0.006760278318259119,0.0011084854631251992
59578.16677905083,0.007739940168410353,0.0010953425833777164
59585.16683425926,0.007822960314383499,0.0011170577903461198
59592.16679201393,0.009215081693433165,0.0011095090948806147
59599.16700868019,0.012334575309404672,0.001123269367899646
59606.16685833294,0.004761296783221669,0.0011068994569150585
59613.16693032354,0.005574835060035364,0.0010975840768884474
59620.16686990748,0.007542957349655718,0.0011039513691177315
59627.16690486121,0.007159350691477342,0.001107021342060261
59634.16683993064,0.0031331123312324538,0.0010841176018048261
59641.166850115726,0.002367806870000366,0.0010776000802044398
59648.16671736075,0.004437782358891873,0.0010642137841711027
59655.16690104192,0.001714557742672015,0.001051479287672355
59662.16696226853,0.00426252428170215,0.001069926581647877
59669.166778935,0.0024630930949292836,0.001041375882081504
59676.16661817132,0.005625521303333712,0.0009880529236888473
59683.16650127327,0.004037045610280476,0.0010325975437284808
59690.16679131911,0.0015848193561941793,0.0010371169771632442
59697.16674571783,0.00389297618219787,0.0011448580419908536
59704.16650463019,0.004815803720795357,0.001053458677860837
59711.16671157407,0.009459109413522564,0.0010737643266009861
59718.16637986089,0.01667547859642396,0.0011209622858737516
59725.16671539346,0.004925290041848083,0.0010883270223009088
59732.16694317115,0.008889796381787378,0.0011339310631404817
59739.16687361122,0.00763880854730978,0.0010997070471540345
59746.1670091434,0.008167157362136395,0.0011282763771137691
59753.167018634485,0.008296656220123513,0.0012993676933788184
59760.16680532409,0.00793061375058882,0.0012938209196787396
59767.16666122664,0.011417331006407919,0.0011432070641119994
59774.16690879582,0.00903169037212567,0.0010858725557350668
59781.1668662036,0.00907981731536742,0.001083112944846574
59788.16675636565,0.008502013068172503,0.0010723307157190687
59795.16681076432,0.011433270925818735,0.0010861842964862538
59802.166529745205,0.014090098376006584,0.0011219998971149735
59809.16680590272,0.005745881183628024,0.0010976290502442635
59816.16690625,0.005509814013135883,0.0011346226194053372
59823.14737326394,0.004028595697201027,0.0011117506860599431
59830.14744907413,0.003886336066040377,0.0010984517298188942
59837.1668284719,0.006178649983227215,0.0011519742573161548
59844.16651377377,0.006496376696443869,0.0011636759400594585
59851.1669710641,0.013034148027304666,0.0013258533744075177
59858.16684722263,0.011503419270738844,0.0010745755668488395
59865.16683425795,0.012558709910256392,0.0010795864672640831
59871.978755787066,0.014678320830215925,0.0011419028426284655
