source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
ngc1275,NGC1275,2021-10-11_2021-10-17,week,59501.5,2021-10-11,2021-10-17,0.0,2.97e-14,0.0,0.0297,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-10-18_2021-10-24,week,59508.5,2021-10-18,2021-10-24,1.949e-14,4.671e-14,0.01949,0.04671,1e-12,0.18,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-10-25_2021-10-31,week,59515.5,2021-10-25,2021-10-31,1.227e-14,3.357e-14,0.01227,0.03357,1e-12,0.14,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-11-01_2021-11-07,week,59522.5,2021-11-01,2021-11-07,0.0,1.525e-14,0.0,0.01525,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-11-08_2021-11-14,week,59529.5,2021-11-08,2021-11-14,3.621e-14,3.366e-14,0.03621,0.03366,1e-12,1.43,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-11-15_2021-11-21,week,59536.5,2021-11-15,2021-11-21,1.701e-14,3.769e-14,0.01701,0.03769,1e-12,0.23,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-11-22_2021-11-28,week,59543.5,2021-11-22,2021-11-28,2.0800000000000003e-15,6.329e-14,0.00208,0.06329,1e-12,0.01,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-11-29_2021-12-05,week,59550.5,2021-11-29,2021-12-05,6.155e-14,4.299e-14,0.06155,0.04299,1e-12,2.3,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-12-06_2021-12-12,week,59557.5,2021-12-06,2021-12-12,6.660000000000001e-15,5.577e-14,0.00666,0.05577,1e-12,0.03,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-12-13_2021-12-19,week,59564.5,2021-12-13,2021-12-19,0.0,2.515e-14,0.0,0.02515,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-12-20_2021-12-26,week,59571.5,2021-12-20,2021-12-26,0.0,4.866e-14,0.0,0.04866,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-12-27_2022-01-02,week,59578.5,2021-12-27,2022-01-02,0.0,5.648e-14,0.0,0.05648,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-01-03_2022-01-09,week,59585.5,2022-01-03,2022-01-09,0.0,7.87e-15,0.0,0.00787,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-01-10_2022-01-16,week,59592.5,2022-01-10,2022-01-16,2.58e-15,1.2754e-13,0.00258,0.12754,1e-12,0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-01-17_2022-01-23,week,59599.5,2022-01-17,2022-01-23,8.666e-14,4.634e-14,0.08666,0.04634,1e-12,4.36,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-01-24_2022-01-30,week,59606.5,2022-01-24,2022-01-30,0.0,2.637e-14,0.0,0.02637,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-01-31_2022-02-06,week,59613.5,2022-01-31,2022-02-06,7.95e-15,4.879e-14,0.00795,0.04879,1e-12,0.04,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-02-07_2022-02-13,week,59620.5,2022-02-07,2022-02-13,0.0,1.389e-14,0.0,0.01389,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-02-14_2022-02-20,week,59627.5,2022-02-14,2022-02-20,0.0,3.005e-14,0.0,0.03005,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-02-21_2022-02-27,week,59634.5,2022-02-21,2022-02-27,7.324e-14,4.849e-14,0.07324,0.04849,1e-12,2.79,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-02-28_2022-03-06,week,59641.5,2022-02-28,2022-03-06,0.0,2.305e-14,0.0,0.02305,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-03-07_2022-03-13,week,59648.5,2022-03-07,2022-03-13,0.0,8.740000000000001e-15,0.0,0.00874,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-03-14_2022-03-20,week,59655.5,2022-03-14,2022-03-20,0.0,1.4566e-13,0.0,0.14566,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-03-21_2022-03-27,week,59662.5,2022-03-21,2022-03-27,1.263e-14,3.533e-14,0.01263,0.03533,1e-12,0.13,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-03-28_2022-04-03,week,59669.5,2022-03-28,2022-04-03,1.661e-14,3.521e-14,0.01661,0.03521,1e-12,0.25,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-04-04_2022-04-10,week,59676.5,2022-04-04,2022-04-10,3.927e-14,4.884e-14,0.03927,0.04884,1e-12,0.7,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-04-11_2022-04-17,week,59683.5,2022-04-11,2022-04-17,0.0,4.548e-14,0.0,0.04548,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-04-18_2022-04-24,week,59690.5,2022-04-18,2022-04-24,5.396e-14,4.502e-14,0.05396,0.04502,1e-12,1.61,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-04-25_2022-05-01,week,59697.5,2022-04-25,2022-05-01,0.0,5.924e-14,0.0,0.05924,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-05-02_2022-05-08,week,59704.5,2022-05-02,2022-05-08,0.0,1.401e-14,0.0,0.01401,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-05-09_2022-05-15,week,59711.5,2022-05-09,2022-05-15,8.666e-14,4.207e-14,0.08666,0.04207,1e-12,5.96,2.6,3.0,1,OK,OK,True
