# ra : 49.05, dec : 41.25
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-06-21_2021-06-27,59389.16656782394,"[30005.0, 3240.0, 320.0, 19.0, 5.0, 0.0, 0.0]","[29951.24268174497, 3304.2257832049404, 312.49616114303996, 19.73896664296818, 4.846507464933333, 0.3428793178023612, 0.1379276378267506]","[992687501.6427029, 109112279.75522907, 10279550.717636414, 644996.3161113019, 157461.80610558085, 10644.994592760533, 4291.609884488711]",173811.2
2021-06-28_2021-07-04,59396.16681620365,"[36798.0, 4136.0, 399.0, 31.0, 8.0, 0.0, 0.0]","[36806.000365095526, 4089.1906882358644, 391.9178822670727, 24.509441018120288, 6.247426921708586, 0.44750211446367905, 0.1688086424165873]","[1255483061.31835, 139359329.9764623, 13336381.276494134, 833874.2755764116, 212975.09812828124, 16061.1037929754, 5737.26815367891]",201407.2
2021-07-05_2021-07-11,59403.16680162038,"[36266.0, 3965.0, 401.0, 26.0, 6.0, 1.0, 0.0]","[36398.10275517437, 4018.237410169284, 383.8534931803395, 24.585164871039634, 5.7297056578454795, 0.4869849082860146, 0.19298891115424557]","[1254678130.0062296, 138483151.6427739, 13217610.609090555, 847514.3571154143, 197172.34884594806, 16350.316628402152, 6157.941120878952]",197346.3
2021-07-12_2021-07-18,59410.16673958351,"[36246.0, 4029.0, 405.0, 28.0, 5.0, 1.0, 0.0]","[36175.06148662454, 3995.876534911434, 382.05806019799905, 24.0334366548254, 6.175589308551502, 0.44392283752432715, 0.16161381320436816]","[1209894613.6868322, 133637102.33827452, 12768681.076376347, 799012.7402867493, 206292.80278217653, 15188.776925726965, 5973.082691593433]",195410.8
2021-07-19_2021-07-25,59417.16679537053,"[25272.0, 2769.0, 282.0, 19.0, 4.0, 0.0, 0.0]","[25345.259139045455, 2803.807677736962, 269.9022914618129, 17.172075910370317, 4.103437720909348, 0.30899060156677, 0.09997789133494195]","[799105688.734326, 88388034.64911985, 8484804.241989113, 538317.002782402, 129388.09050951083, 9673.02310260897, 3152.2704831466367]",154267.5
2021-07-26_2021-08-01,59424.16695729188,"[10175.0, 1159.0, 103.0, 5.0, 3.0, 0.0, 0.0]","[10277.337145150184, 1136.1214214850183, 105.34093777592726, 6.749331002837416, 1.721166209579729, 0.16353067456721226, 0.03449767621118371]","[320435463.5510567, 35385383.44885309, 3289653.7531838077, 208385.83108679162, 54031.04859221138, 4425.713881171938, 1134.2211192612485]",63154.3
2021-08-02_2021-08-08,59431.16673773149,"[34000.0, 3781.0, 364.0, 25.0, 6.0, 1.0, 0.0]","[34130.91121675499, 3799.964607535796, 365.8650555322581, 22.91437876725473, 5.826087367852772, 0.5032872263101821, 0.19642809871410707]","[1160902193.1883678, 129185701.62606135, 12423839.218545636, 776315.3857287525, 196139.56872052627, 18187.07021106869, 6267.302315979982]",187843.5
2021-08-09_2021-08-15,59438.16700601812,"[36612.0, 4046.0, 426.0, 22.0, 8.0, 1.0, 0.0]","[36880.664813364754, 4077.3273805699178, 393.4451885334855, 24.782073901032167, 6.207133514571087, 0.42270180257065065, 0.1558138807716475]","[1263304969.3052201, 139628680.18482414, 13464007.414318115, 849019.0516342155, 212360.9017528724, 14684.59543189021, 5459.664367990011]",202282.5
2021-08-16_2021-08-22,59445.16691111219,"[37197.0, 4018.0, 418.0, 37.0, 10.0, 0.0, 1.0]","[37271.583632776594, 4156.234657482738, 395.8954109746327, 24.920928506045204, 6.264325582101924, 0.44406187821422244, 0.18145888291875223]","[1277214780.6527014, 142357934.54135934, 13556452.686622476, 852335.4389224178, 214506.6075686474, 15281.107655757409, 6202.89060240762]",202832.2
2021-08-23_2021-08-29,59452.16672245379,"[37539.0, 4166.0, 414.0, 21.0, 6.0, 3.0, 0.0]","[37684.16758436915, 4157.675444175169, 397.97888726487747, 24.97655294245242, 6.252316215494973, 0.5409488240927776, 0.21230910174566614]","[1272744320.7727127, 140236178.06903598, 13409376.475342525, 838919.8174725388, 210954.99386052927, 17062.361118276334, 6711.107688970774]",203111.8
