# ra : 330.75, dec : 42.15
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-06-21_2021-06-27,59389.16656782394,"[35840.0, 3959.0, 380.0, 17.0, 5.0, 0.0, 0.0]","[35710.21452495946, 3980.214900724289, 381.48656127887676, 23.091206040390055, 5.3734696782230635, 0.36940563119250874, 0.1514267778671971]","[1192550471.5011833, 132907494.96348384, 12709947.642354896, 766171.4050199834, 177874.48323329343, 13154.649550242695, 4965.646009402564]",198828.9
2021-06-28_2021-07-04,59396.16681620365,"[36063.0, 4044.0, 413.0, 29.0, 5.0, 0.0, 1.0]","[35922.589288212905, 4042.01800253702, 394.485939583305, 23.65609564550577, 5.883455778504864, 0.5049825498290729, 0.16739173959464979]","[1206971983.1437824, 135820213.87375587, 13246629.530313551, 794046.8441986638, 197219.0528126519, 17372.504597900144, 6119.448297374635]",199527.7
2021-07-05_2021-07-11,59403.16680162038,"[33905.0, 3995.0, 386.0, 22.0, 9.0, 2.0, 0.0]","[33892.743358712396, 3816.2231008952363, 370.76188602707816, 22.78189263627942, 5.668156792343776, 0.5147776058768649, 0.12725602496064467]","[1164177279.5793552, 131104727.74813654, 12739588.649507277, 781376.2300208654, 194813.49794875176, 17368.55796706199, 5358.940308467086]",191309.6
2021-07-12_2021-07-18,59410.16673958351,"[33207.0, 3803.0, 353.0, 25.0, 5.0, 0.0, 0.0]","[32890.72809356471, 3711.0278600033957, 360.3863118749916, 21.53756344551044, 5.3521815941626265, 0.4615392004487231, 0.1585683667369363]","[1128809128.451763, 127329500.21447954, 12360791.331830723, 739596.4984335573, 182522.23566421735, 15829.76799114934, 4578.299957016019]",190594.6
2021-07-19_2021-07-25,59417.16679537053,"[34563.0, 3797.0, 355.0, 22.0, 6.0, 0.0, 0.0]","[34159.73400428544, 3833.887606874246, 373.01355190945293, 22.695200952087742, 5.720551930714557, 0.377696909817271, 0.12593397781954319]","[1123577966.7570934, 125648694.30325124, 12210555.54400648, 743997.3558050791, 185403.63172705218, 12261.485273762006, 4187.780348838321]",199241.1
2021-07-26_2021-08-01,59424.16695729188,"[14212.0, 1515.0, 158.0, 14.0, 2.0, 0.0, 0.0]","[14158.053576811495, 1558.5283211817978, 151.28135272313526, 9.312508315449206, 2.194427693848569, 0.10027090931095976, 0.04203875011314394]","[461279183.3593597, 50765757.934660725, 4907461.812716749, 303014.67830340145, 72014.22477234992, 3281.324435858721, 1446.7616000605426]",83136.7
2021-08-02_2021-08-08,59431.16673773149,"[31345.0, 3638.0, 371.0, 31.0, 1.0, 0.0, 0.0]","[31146.03138564697, 3537.0040079053474, 347.6752393812919, 22.186637092817943, 5.217107740644889, 0.4054921585043186, 0.09941980077324203]","[1074439114.185122, 121943780.73500669, 11960749.441350441, 760659.8043969045, 180300.57220383882, 14552.774449769642, 3628.556198392952]",182749.7
2021-08-09_2021-08-15,59438.16700601812,"[36718.0, 4252.0, 425.0, 36.0, 9.0, 1.0, 0.0]","[36275.29801635675, 4081.3170494086135, 398.82772916368106, 25.36131433642905, 5.950183129333418, 0.4823694668472312, 0.1790116818326711]","[1248300492.6901422, 140225608.2862312, 13679526.10656322, 869784.205139737, 204090.8016351111, 16225.441420376068, 6020.410563956938]",205706.8
2021-08-16_2021-08-22,59445.16691111219,"[36286.0, 4194.0, 412.0, 31.0, 5.0, 1.0, 0.0]","[36165.47455374109, 4094.610449217371, 401.65057241513585, 25.060220156682334, 6.3469750221084675, 0.6126489683142307, 0.20451119398740658]","[1248856159.3111997, 141331492.27077404, 13851706.899203893, 863297.9839164474, 217899.4746059258, 21078.799325048883, 6778.63442922276]",205925.5
2021-08-23_2021-08-29,59452.16672245379,"[35512.0, 4141.0, 419.0, 29.0, 4.0, 1.0, 1.0]","[35295.25467225281, 3946.088829764959, 381.88361127020613, 23.916837442359014, 5.619836454061935, 0.5204186279526901, 0.11643831855323758]","[1199797292.9779532, 133786980.7605927, 12927082.890784146, 807827.4087172059, 190963.72016366522, 17802.528899867557, 4673.396499832954]",192252.6
