# ra : 356.75, dec : 51.75
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-06-21_2021-06-27,59389.16656782394,"[22137.0, 2905.0, 277.0, 27.0, 6.0, 0.0, 0.0]","[21929.912829127526, 2860.116868930189, 271.1325972931315, 17.083638537247737, 4.064611518017792, 0.22781188067942892, 0.06819866831575377]","[733069676.3949375, 95546156.7120418, 9050348.976045704, 567298.7355194548, 134599.11069664513, 7274.276248585824, 2315.3908239750676]",190015.9
2021-06-28_2021-07-04,59396.16681620365,"[23158.0, 3081.0, 294.0, 32.0, 5.0, 2.0, 0.0]","[23087.11237396606, 3024.2391067417957, 287.2025378259332, 18.285045996593414, 4.701192577208159, 0.3335913331304672, 0.08348920407661413]","[780044302.9722407, 102190968.39497592, 9694216.08872072, 615970.4489048464, 157257.0784799404, 11266.008241453002, 3134.3836167156414]",203229.4
2021-07-05_2021-07-11,59403.16680162038,"[22533.0, 2978.0, 298.0, 21.0, 6.0, 0.0, 0.0]","[22654.94012062213, 2968.825510700621, 287.4577472442624, 18.998221494416228, 4.6988795524374085, 0.23177110862315853, 0.08520740702850972]","[778406804.2974759, 102023781.83356825, 9876684.087878551, 652990.3467008455, 161376.52721283963, 8034.9187055287985, 2827.3686170836813]",198463.3
2021-07-12_2021-07-18,59410.16673958351,"[22456.0, 2909.0, 293.0, 21.0, 3.0, 0.0, 0.0]","[22335.42932315633, 2915.917318599759, 283.87146109295634, 17.84921534523767, 4.454210013612479, 0.3089929830078103, 0.10477535366492147]","[763614252.8094151, 99655908.41178738, 9688441.085802792, 609330.8328971395, 152021.9603908171, 10002.975370114358, 3401.9117790779433]",196753.3
2021-07-19_2021-07-25,59417.16679537053,"[21858.0, 2888.0, 263.0, 21.0, 5.0, 0.0, 0.0]","[21756.672481612455, 2832.4103331949455, 274.1672363506362, 16.867622961293765, 4.50862808698777, 0.2232279460998097, 0.07929040272700803]","[702773565.6536846, 91164701.36020528, 8825500.00039485, 545071.4476453252, 143925.10865114385, 7549.248557341917, 2441.570515503014]",187680.3
2021-07-26_2021-08-01,59424.16695729188,"[9456.0, 1252.0, 108.0, 8.0, 0.0, 0.0, 0.0]","[9557.271218331822, 1212.4582454714507, 117.2536089920484, 7.7357111989420195, 1.8603385762652367, 0.13498222468881294, 0.05219621772931954]","[309520637.96825546, 39229614.492750145, 3787527.7638483928, 249243.40006643147, 60102.17331079277, 3807.94756499082, 1685.6955813721845]",79342.4
2021-08-02_2021-08-08,59431.16673773149,"[20006.0, 2629.0, 261.0, 18.0, 3.0, 1.0, 0.0]","[19969.078933207446, 2621.023923891971, 249.7748062306773, 16.047160719764097, 4.0408938565733745, 0.26693384475883764, 0.07532146923643677]","[688479650.6590161, 90357854.4580713, 8600674.792589774, 552612.3649177536, 139374.98548448752, 9630.082488939446, 2832.170385704889]",177940.8
2021-08-09_2021-08-15,59438.16700601812,"[23316.0, 3044.0, 295.0, 25.0, 5.0, 0.0, 0.0]","[23314.859509399303, 3046.151787372424, 291.3633821512043, 19.177587542478218, 4.736319879139575, 0.2463156698869182, 0.07375662905104742]","[800712444.5948654, 104534766.32893041, 9997008.052125758, 655369.7942787411, 162680.99474649996, 8144.057414084056, 2787.4401518660216]",206285.6
2021-08-16_2021-08-22,59445.16691111219,"[23376.0, 3066.0, 294.0, 19.0, 2.0, 1.0, 0.0]","[23234.449419510143, 3065.0705880572277, 291.8190021491156, 18.265221396430448, 4.773156355772349, 0.2947422338869175, 0.12503363064366274]","[799778085.1869998, 105495724.5239678, 10041214.702230228, 627986.3732720484, 163136.84132590593, 9847.344228027892, 4426.324347263748]",207654.7
2021-08-23_2021-08-29,59452.16672245379,"[23595.0, 2997.0, 286.0, 16.0, 10.0, 1.0, 0.0]","[23264.281000062143, 3066.0952050048054, 294.129333585399, 19.24186350294235, 4.66285708587065, 0.29745770970120944, 0.09704983640879604]","[791866871.8391918, 104051326.94675739, 9988022.551483706, 651513.5355617732, 158282.98784183228, 9772.59927202154, 2935.755878127599]",201294.5
2021-08-30_2021-09-05,59459.16678854192,"[23196.0, 3055.0, 297.0, 15.0, 5.0, 0.0, 0.0]","[23219.06793016868, 3054.322728838076, 293.8848219179171, 18.526346992883987, 4.866886285217044, 0.2935867064743854, 0.11559711871941067]","[792712448.9619151, 104107571.47617571, 9988476.921058062, 625902.3571638111, 164631.7488441421, 9121.625631651588, 4063.0319068098643]",207679.5
2021-09-06_2021-09-12,59466.167044907554,"[22669.0, 2953.0, 277.0, 27.0, 10.0, 0.0, 0.0]","[22550.8132243977, 2971.608739477066, 287.7470361931946, 18.172634007477345, 4.83707079872061, 0.27639853919383556, 0.10115756119118911]","[758609947.1957287, 99863416.90261766, 9655765.285850877, 607909.1044297112, 161560.86834372068, 9560.398411398803, 3617.029161183955]",203539.9
2021-09-13_2021-09-19,59473.16697187504,"[22682.0, 2897.0, 286.0, 30.0, 4.0, 0.0, 0.0]","[22818.795716927503, 2950.1567651608916, 286.45930764662774, 18.24971195516931, 4.593014573577436, 0.2062180471771061, 0.12375429773819722]","[749262762.4971735, 96806365.0866364, 9396459.907307386, 600344.6804918763, 149846.6114966615, 6577.807964532558, 3927.7202275685313]",199910.8
2021-09-20_2021-09-26,59480.166958217735,"[21373.0, 2780.0, 264.0, 25.0, 7.0, 0.0, 0.0]","[21269.7307637868, 2801.921329745362, 274.4617550988828, 17.8671259529866, 4.9787659892420315, 0.3806454686948304, 0.08398131637269847]","[691107141.607, 90963242.47663265, 8908440.512554597, 582439.6574360282, 161899.11381217392, 12466.929941709144, 2685.2176131921638]",183228.3
2021-09-27_2021-10-03,59487.24986284722,"[19902.0, 2663.0, 277.0, 19.0, 4.0, 1.0, 0.0]","[19927.432924843928, 2633.4935709289102, 258.3680240812961, 17.352516457806303, 4.248486408242068, 0.31160945216543706, 0.12106946948741118]","[671257789.3231739, 88719205.97205344, 8703495.11092294, 584432.8330344189, 142620.80663868834, 9714.061568892399, 4282.367480340612]",182382.2
2021-10-04_2021-10-10,59494.25005740744,"[19811.0, 2551.0, 265.0, 16.0, 8.0, 1.0, 0.0]","[19679.55268867817, 2587.6596143402326, 255.65330783929758, 16.92478092988925, 4.131324736576769, 0.2999070040641527, 0.09417316634331593]","[674830619.2744554, 88730474.5623956, 8767885.305253625, 579265.4453489496, 141444.4511041274, 9885.947292124662, 3720.777690424854]",174684.4
2021-10-11_2021-10-17,59501.16663148133,"[22860.0, 3050.0, 285.0, 18.0, 7.0, 0.0, 0.0]","[22627.81244718441, 2982.003697712111, 292.6109939201053, 18.611268006148112, 5.055841161226062, 0.23909330922138852, 0.12548571561027558]","[768285958.8385462, 101202315.23315768, 9930513.102859946, 633167.8780484421, 169795.2147039839, 8004.032764561631, 3376.3301043172332]",203696.0
2021-10-18_2021-10-24,59508.16666423631,"[23063.0, 2987.0, 295.0, 28.0, 5.0, 0.0, 0.0]","[22804.900598592074, 3010.6784049634775, 294.36796899154734, 18.101798839570048, 4.783421474151474, 0.2693445175254852, 0.17645522008492673]","[767270398.0156395, 101309459.55208182, 9899773.376487998, 608014.2712024493, 160376.9265253592, 9143.447813274921, 5329.59859476757]",203183.5
2021-10-25_2021-10-31,59515.1669280092,"[23694.0, 3136.0, 295.0, 19.0, 6.0, 0.0, 0.0]","[23577.877456046317, 3131.005286327776, 308.7715700512972, 19.867048126776, 5.518665000197682, 0.33939575034982905, 0.10663944072547707]","[813738771.793125, 108048786.78858307, 10651725.60744651, 686548.0266749264, 190558.64290906818, 11827.284952489776, 3669.204100875441]",207691.2
2021-11-01_2021-11-07,59522.1668252314,"[23358.0, 3109.0, 304.0, 21.0, 3.0, 0.0, 0.0]","[23367.506981526698, 3102.418784834177, 304.4507077650264, 20.37498211600239, 5.4167268731940394, 0.28922057778535437, 0.11484650060685499]","[809793088.915596, 107479725.40591855, 10543081.643470582, 704529.3243055652, 187998.84522421076, 10214.832848945749, 3759.238669582897]",198862.2
2021-11-08_2021-11-14,59529.16671238424,"[24056.0, 3272.0, 288.0, 21.0, 5.0, 0.0, 0.0]","[23902.175646325533, 3191.8658672400925, 312.1794467806567, 20.594410436439798, 5.537143100918683, 0.2729211858481434, 0.14766446203699923]","[826332184.180957, 110346185.42627318, 10785135.438855235, 711428.4944100619, 190414.31881332942, 10031.845267757179, 5164.721102585246]",207665.6
2021-11-15_2021-11-21,59536.16684085637,"[21907.0, 2919.0, 299.0, 19.0, 3.0, 0.0, 0.0]","[21789.459279470488, 2896.9489075431156, 288.58152388860583, 18.64847887839362, 4.743861278446465, 0.30637727455354713, 0.11869324568025855]","[729925574.6261318, 96908089.68366553, 9651111.730859756, 621670.2897406233, 157864.9707441994, 10586.83330256614, 3722.5947639187293]",195753.4
2021-11-22_2021-11-28,59543.166822106185,"[23304.0, 3035.0, 304.0, 30.0, 7.0, 1.0, 0.0]","[23198.5686213027, 3098.0598308226745, 310.26025524995055, 21.025124042882027, 5.7125877281902895, 0.3992785998275764, 0.14490799968590956]","[802638737.3346065, 107143298.55702174, 10726427.823772242, 726027.50124116, 197406.83821863803, 13339.360715099, 4682.574074095809]",207781.9
2021-11-29_2021-12-05,59550.16697291678,"[21594.0, 2946.0, 296.0, 27.0, 4.0, 0.0, 0.0]","[21616.07981844934, 2876.9931575912237, 284.29898053272404, 18.15638737878985, 4.777400998859891, 0.2769123979926045, 0.09903897554117914]","[741631128.7019815, 98690759.2308729, 9750249.898501178, 623693.1622835894, 163696.41070923686, 9580.83960502715, 3313.198060710381]",193960.7
2021-12-06_2021-12-12,59557.16690509248,"[23708.0, 3229.0, 295.0, 28.0, 8.0, 1.0, 0.0]","[23704.991467083117, 3173.8540225917736, 314.86238635871433, 21.61958946535112, 5.383806844387667, 0.38038565360992344, 0.13779012031108387]","[806907597.7081201, 108021200.59719476, 10721069.285741076, 736686.0525656572, 182511.43859386657, 12404.300208381781, 4092.256894705051]",206503.3
