# ra : 262.05, dec : 50.15
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[17479.0, 2389.0, 234.0, 16.0, 4.0, 1.0, 0.0]","[17862.409777576388, 2359.6479329011577, 238.21458882823194, 16.231934651455074, 3.600502509146832, 0.2618545620912031, 0.08101592724878441]","[567138647.2389141, 74864222.6944794, 7551353.4028411545, 514812.9999811478, 115243.5952133616, 8495.741050983297, 2057.792607133855]",133080.7
2021-03-15_2021-03-21,59291.16655543972,"[16674.0, 2238.0, 222.0, 15.0, 5.0, 2.0, 0.0]","[16669.473937131483, 2153.67723554841, 213.25132192471457, 14.080505564842507, 3.7384865242286303, 0.2484712780121466, 0.08816924820490207]","[480236719.35636145, 61945451.61278888, 6166077.762634977, 401042.8053968518, 105764.2759436085, 7639.48138015005, 2764.2828160707836]",119427.6
2021-03-22_2021-03-28,59298.16639849528,"[15199.0, 1983.0, 179.0, 17.0, 4.0, 1.0, 0.0]","[15212.076452125375, 1984.4660069298775, 200.91508349756367, 13.43590194904745, 3.1155376503849284, 0.19757811989415355, 0.07093993597284537]","[462083097.61981016, 60132519.79033551, 6070363.190262014, 405835.27958793554, 94066.06505347375, 5909.084606657511, 2117.6870319734094]",122022.9
2021-03-29_2021-04-04,59305.16613796316,"[21685.0, 2905.0, 303.0, 17.0, 6.0, 0.0, 0.0]","[21925.786040046733, 2844.258415463592, 284.6785600136034, 19.59914941836538, 4.696802160038018, 0.2993090385541218, 0.09150319742144616]","[671705479.5940261, 87206801.94606867, 8714759.097978244, 601399.6150030744, 143294.97448082917, 9648.157717146409, 3058.7602403372057]",149141.1
2021-04-05_2021-04-11,59312.16602650478,"[24708.0, 3163.0, 328.0, 32.0, 6.0, 0.0, 1.0]","[24547.94879788767, 3214.2695513821636, 322.1243367084509, 22.78074239322712, 5.451034644787757, 0.4509707588658333, 0.15514833242417025]","[817895913.4609842, 106929067.28605457, 10696112.504421698, 758616.5135788228, 181930.84914312398, 14354.372709286796, 5070.878290670755]",188432.8
2021-04-12_2021-04-18,59318.83206319419,"[22768.0, 2848.0, 276.0, 20.0, 5.0, 0.0, 0.0]","[22891.29065273491, 2877.3718858101597, 283.6029546049215, 19.64067649235995, 4.432646260406194, 0.3176862879188283, 0.06467344991125779]","[602729152.9086862, 76009665.3906287, 7507866.625389145, 520438.61677572003, 118431.55237700662, 8827.339499593283, 1944.3474776416842]",148808.4
2021-04-19_2021-04-25,59326.32490347181,"[23298.0, 3027.0, 297.0, 18.0, 5.0, 0.0, 0.0]","[23479.619108605693, 3018.9109643823053, 303.31247973326197, 20.105835400979817, 5.179672494474642, 0.4110298038660212, 0.10235065877717534]","[734313373.4328796, 94338732.92705573, 9468676.630951352, 627518.5673025479, 162475.69783321128, 12628.395566324793, 3197.2744608175617]",180624.4
2021-04-26_2021-05-02,59333.15840833324,"[23915.0, 3145.0, 307.0, 23.0, 7.0, 1.0, 0.0]","[23941.18697350345, 3103.447093220702, 310.0859760690737, 21.26621051323737, 4.994008664911847, 0.3304872040791697, 0.08994497214295935]","[767612684.8212459, 99363821.10972773, 9924277.58466345, 677461.8603849822, 159527.63671626602, 10680.977610031114, 2867.7051701328655]",194498.5
2021-05-03_2021-05-09,59340.166622916775,"[26036.0, 3230.0, 319.0, 26.0, 6.0, 1.0, 0.0]","[25931.863409578455, 3274.245421751124, 316.04473690844105, 21.13945188753396, 4.725220475557573, 0.32198497370440643, 0.1285975040488454]","[837365184.375443, 105806143.68997833, 10208705.603562815, 681841.2922757998, 153191.69553267668, 11092.990998492003, 3877.715015334044]",204080.2
2021-05-10_2021-05-16,59347.16690069436,"[24487.0, 3119.0, 296.0, 17.0, 4.0, 0.0, 0.0]","[24434.717572906193, 3096.618927667136, 299.98759366627803, 19.695932196716857, 4.749305449765244, 0.3641162854012253, 0.10309192940623178]","[829509052.6986961, 105160001.1217473, 10177970.78853105, 666425.9400644782, 161735.05125312612, 11334.646756105683, 3309.3959753149097]",192147.1
2021-05-17_2021-05-23,59354.16703310164,"[22588.0, 2836.0, 255.0, 25.0, 3.0, 0.0, 0.0]","[22373.74433724506, 2858.301089527151, 271.4365104002615, 17.91121350994081, 4.254450182282484, 0.20034729944035545, 0.07715602122982812]","[753075796.6872407, 96142619.4402306, 9130703.90908372, 601007.7314942605, 143415.890811842, 7056.266642470415, 2609.1083521588307]",181762.0
2021-05-24_2021-05-30,59361.16682986069,"[24572.0, 3137.0, 297.0, 16.0, 9.0, 2.0, 0.0]","[24608.580981055533, 3133.634616734064, 299.60434856795445, 18.98322785680636, 4.602677489153468, 0.29463258363646383, 0.11683662864283098]","[795031590.1253272, 101155470.06463832, 9658317.71193949, 608227.1334133716, 149557.7163815381, 10102.501856356688, 3625.1324809665025]",194433.1
