# ra : 299.95, dec : 65.15
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[4874.0, 758.0, 79.0, 5.0, 2.0, 0.0, 0.0]","[4835.759664718606, 704.8591695058011, 80.89881060860162, 5.11268525156666, 1.0467935957422885, 0.05314926264345965, 0.03979910340531409]","[147865962.1292026, 21567474.47640155, 2471604.1867353804, 157283.45090747555, 32375.453752414818, 1599.079763833463, 960.3849464767783]",114064.3
2021-03-15_2021-03-21,59291.16655543972,"[3660.0, 554.0, 70.0, 1.0, 2.0, 0.0, 0.0]","[3710.103959343493, 545.1610459778965, 61.06980778483503, 3.831946081663018, 0.9281120093146455, 0.04251286897518459, 0.02149229502271891]","[110371525.25646457, 16184759.442714388, 1817712.7940064508, 112627.112840408, 26783.635492333167, 1552.2642954135617, 763.5240755267038]",90107.2
2021-03-22_2021-03-28,59298.16639849528,"[3757.0, 529.0, 63.0, 7.0, 3.0, 0.0, 0.0]","[3782.5282262991986, 555.7581762192063, 59.52713065424085, 4.543353673959869, 1.0202804217926733, 0.07989981491055768, 0.035641532230423066]","[116650857.43329826, 17139565.197382435, 1835702.3423819582, 140480.18056451707, 30894.851828606883, 2684.6952447855383, 1079.4816546479367]",92123.3
2021-03-29_2021-04-04,59305.16613796316,"[5922.0, 852.0, 102.0, 9.0, 2.0, 0.0, 0.0]","[5880.097248973381, 875.8104573841348, 96.7671492069564, 6.7983707721141995, 1.303380486773247, 0.08295785179467538, 0.012389960738635533]","[176161191.62032583, 26220101.046236455, 2905002.332122408, 203179.9954622535, 39765.199805901, 2692.4516272945293, 320.2187218394687]",131185.7
2021-04-05_2021-04-11,59312.16602650478,"[7585.0, 1108.0, 128.0, 12.0, 2.0, 0.0, 0.0]","[7506.2091977002065, 1116.9356830841514, 125.88705177978734, 8.958732827700727, 1.8581178893770498, 0.12330396022835277, 0.02680644648618082]","[245042125.66280416, 36466470.18357251, 4095922.7582120537, 292317.29992501636, 60287.50582332657, 3959.677563481093, 1037.3392949374515]",170090.0
2021-04-12_2021-04-18,59318.83206319419,"[5362.0, 796.0, 93.0, 8.0, 2.0, 0.0, 0.0]","[5366.032675337445, 764.4164138224028, 85.51085564545431, 5.735655331361782, 1.4449143096218313, 0.06867505470161822, 0.022085182632159302]","[140664941.76969698, 20013633.34801559, 2238462.5243796087, 147808.6385036261, 37664.12603632996, 2582.344761559608, 666.8901484869111]",119164.1
2021-04-19_2021-04-25,59326.32490347181,"[7340.0, 1064.0, 130.0, 11.0, 1.0, 0.0, 0.0]","[7386.3302608644435, 1070.660203409032, 119.44205498527441, 7.740662812131024, 1.967068453647472, 0.11695470890470781, 0.02016368422483867]","[227989439.79361346, 33038325.884537186, 3678819.74894384, 238543.04014508205, 60786.21352533608, 3334.840087258546, 546.4516083823326]",160361.6
2021-04-26_2021-05-02,59333.15840833324,"[7833.0, 1177.0, 135.0, 13.0, 5.0, 0.0, 0.0]","[7905.89165691098, 1150.433238634165, 130.46522448119512, 8.611228066963518, 1.900069410894325, 0.1071222113340177, 0.07481554844696511]","[259063693.98565647, 37718609.60019265, 4269796.910113801, 280517.5890154212, 62405.07078172569, 3315.8506092034927, 2068.164278195019]",179492.6
2021-05-03_2021-05-09,59340.166622916775,"[8171.0, 1243.0, 133.0, 15.0, 1.0, 1.0, 0.0]","[8186.630544761847, 1160.6789221322574, 126.27348018986106, 8.016208252484239, 2.0492880425292186, 0.11409449391736248, 0.030750004329028746]","[275437321.2740945, 39037135.88387312, 4245305.684295222, 269963.4352734356, 69314.28560377134, 3663.4826520987053, 1256.4038874440312]",187517.0
2021-05-10_2021-05-16,59347.16690069436,"[8378.0, 1257.0, 129.0, 9.0, 2.0, 0.0, 0.0]","[8505.434485989412, 1200.6446573195103, 129.97091777264848, 8.690079053158867, 1.9447048297926444, 0.10870198619053113, 0.06359624033368269]","[292244596.92734694, 41253573.97616343, 4462264.004335898, 297088.41113035614, 66390.77129101385, 3315.816079498254, 2083.122561678648]",184588.3
