source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
Mkn421,week,2021-05-17_2021-05-23,59354.50000000,2021-05-17,2021-05-23,37,2.6,3.0,0.26825,0.05301,1e-12,2.68250000e-13,5.30100000e-14,34.21,OK,OK,0.0033921367191328566,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop10_2021-05-17_2021-05-23.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-17_2021-05-23/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-17_2021-05-23/fit.log
Mkn421,week,2021-05-24_2021-05-30,59361.50000000,2021-05-24,2021-05-30,41,2.6,3.0,0.21419,0.04903,1e-12,2.14190000e-13,4.90300000e-14,25.4,OK,OK,0.002000218125538499,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop11_2021-05-24_2021-05-30.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-24_2021-05-30/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-24_2021-05-30/fit.log
Mkn421,week,2021-05-31_2021-06-06,59368.50000000,2021-05-31,2021-06-06,42,2.6,3.0,0.18614,0.05017,1e-12,1.86140000e-13,5.01700000e-14,18.46,OK,OK,0.004252468760561764,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop12_2021-05-31_2021-06-06.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-31_2021-06-06/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-31_2021-06-06/fit.log
Mkn421,week,2021-06-07_2021-06-13,59375.50000000,2021-06-07,2021-06-13,42,2.6,3.0,0.46211,0.05691,1e-12,4.62110000e-13,5.69100000e-14,94.59,OK,OK,0.004378560684633422,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop13_2021-06-07_2021-06-13.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-07_2021-06-13/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-07_2021-06-13/fit.log
Mkn421,week,2021-06-14_2021-06-20,59382.50000000,2021-06-14,2021-06-20,41,2.6,3.0,0.86779,0.06456,1e-12,8.67790000e-13,6.45600000e-14,290.66,OK,OK,0.008454474979419828,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop14_2021-06-14_2021-06-20.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-14_2021-06-20/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-14_2021-06-20/fit.log
Mkn421,week,2021-06-21_2021-06-27,59389.50000000,2021-06-21,2021-06-27,40,2.6,3.0,0.43197,0.0588,1e-12,4.31970000e-13,5.88000000e-14,80.68,OK,OK,0.0036403330017666536,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop15_2021-06-21_2021-06-27.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-21_2021-06-27/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-21_2021-06-27/fit.log
Mkn421,week,2021-06-28_2021-07-04,59396.50000000,2021-06-28,2021-07-04,42,2.6,3.0,0.39548,0.05652,1e-12,3.95480000e-13,5.65200000e-14,70.13,OK,OK,0.0029917304446735364,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop16_2021-06-28_2021-07-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-28_2021-07-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-06-28_2021-07-04/fit.log
Mkn421,week,2021-07-05_2021-07-11,59403.50000000,2021-07-05,2021-07-11,40,2.6,3.0,0.21781,0.05135,1e-12,2.17810000e-13,5.13500000e-14,23.36,OK,OK,0.0026151867596682196,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop17_2021-07-05_2021-07-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-07-05_2021-07-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-07-05_2021-07-11/fit.log
Mkn421,week,2021-07-12_2021-07-18,59410.50000000,2021-07-12,2021-07-18,38,2.6,3.0,0.26255,0.05763,1e-12,2.62550000e-13,5.76300000e-14,28.46,OK,OK,0.0017813419156517028,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop18_2021-07-12_2021-07-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-07-12_2021-07-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-07-12_2021-07-18/fit.log
Mkn421,week,2021-07-19_2021-07-25,59417.50000000,2021-07-19,2021-07-25,39,2.6,3.0,0.231,0.05973,1e-12,2.31000000e-13,5.97300000e-14,19.68,OK,OK,0.0038005648514090207,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop19_2021-07-19_2021-07-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-07-19_2021-07-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-07-19_2021-07-25/fit.log
