# ra : 187.75, dec : 12.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-06-21_2021-06-27,59389.16656782394,"[21755.0, 2691.0, 233.0, 16.0, 5.0, 0.0, 0.0]","[21828.96835590663, 2700.4527732859533, 272.6150866086384, 16.21498960402253, 4.742952073060449, 0.30914933168928205, 0.16618829237436222]","[655254699.4215889, 81556018.58198531, 8283864.427783012, 499264.7719841905, 146291.13131972612, 9850.352393266721, 5046.260818457912]",143491.0
2021-06-28_2021-07-04,59396.16681620365,"[25156.0, 3126.0, 324.0, 21.0, 2.0, 1.0, 0.0]","[25144.839485899545, 3143.0222353664412, 319.74597151213754, 20.001944249176198, 5.636303695909396, 0.4144786244219708, 0.1291055708002333]","[834550527.4926642, 104713168.9449041, 10758583.285696816, 684187.7781407828, 194495.54307416294, 14774.50246659704, 4470.989882160179]",159329.3
2021-07-05_2021-07-11,59403.16680162038,"[25527.0, 3203.0, 312.0, 21.0, 4.0, 1.0, 0.0]","[25557.50968031329, 3215.6251085671615, 337.9514795734257, 21.023370615952263, 6.082634712912291, 0.460097566709239, 0.14392135285026283]","[845695263.152563, 106420697.37812138, 11216999.364814274, 703198.6752499118, 202755.1863552192, 15003.514676471525, 4923.103307097054]",161003.3
2021-07-12_2021-07-18,59410.16673958351,"[16005.0, 2051.0, 213.0, 9.0, 9.0, 0.0, 0.0]","[15830.984103536535, 2030.8450943127268, 212.11933514131792, 13.080845895150327, 3.8119618035503344, 0.28422936907334717, 0.09646404833349351]","[474490928.39079905, 60963499.309805535, 6395299.292416599, 396577.6262705533, 115377.32641957015, 9248.454487948904, 2796.1434362997197]",118028.2
2021-07-19_2021-07-25,59417.16679537053,"[21481.0, 2672.0, 286.0, 19.0, 6.0, 1.0, 0.0]","[21260.599682817545, 2635.018757206162, 274.1841694331394, 17.234648747300838, 5.078834953497724, 0.3920262372190748, 0.10337859736046118]","[637375913.8526837, 79252240.15265672, 8268477.687767646, 518123.3417717643, 152249.31724418598, 11837.678772574489, 3392.091833072266]",139728.7
2021-07-26_2021-08-01,59424.16695729188,"[13006.0, 1616.0, 178.0, 11.0, 3.0, 0.0, 1.0]","[13004.176920799799, 1607.1587000042723, 165.00052580267823, 10.613058013477712, 3.1111594434177996, 0.18958586305726327, 0.10203343161175624]","[374577319.8414198, 46535401.78769044, 4798722.951349741, 310256.9772879547, 91510.49113976993, 6049.52479662176, 3015.1283928628172]",81164.6
2021-08-02_2021-08-08,59431.16673773149,"[26520.0, 3420.0, 364.0, 26.0, 6.0, 0.0, 0.0]","[26793.17036701286, 3385.6208241795634, 352.8461487743733, 22.327400839015727, 6.522427376565769, 0.5265479770064665, 0.170578745828005]","[921703855.090859, 116548497.63572218, 12182817.986642616, 775503.5920487302, 227603.94250075181, 17666.089437065413, 6037.151216935512]",170560.8
2021-08-09_2021-08-15,59438.16700601812,"[25572.0, 3256.0, 344.0, 21.0, 11.0, 1.0, 0.0]","[25594.99483187388, 3196.5549768129044, 330.3865202931481, 20.883227349019432, 5.970951082566231, 0.4741798977590559, 0.15784324291317736]","[863171001.8113995, 108080759.6867585, 11218396.068178106, 711499.7692756321, 203514.34979830703, 16110.852214432878, 5441.12010368809]",164943.2
2021-08-16_2021-08-22,59445.16691111219,"[24939.0, 3192.0, 346.0, 21.0, 7.0, 0.0, 1.0]","[25024.173884783428, 3163.1765858129506, 329.95173535050003, 20.80187226024268, 5.947451458270884, 0.453001597431843, 0.13118696058815568]","[838635929.6963425, 106206456.74183856, 11128769.10888802, 705583.8526534068, 202958.82107309296, 16397.023453417478, 4138.090460842136]",163369.0
2021-08-23_2021-08-29,59452.16672245379,"[22924.0, 2869.0, 327.0, 26.0, 7.0, 1.0, 0.0]","[22894.923415756115, 2890.3327740712202, 301.17935502069906, 19.0867765966833, 5.6944577398977865, 0.39624650875308703, 0.1709358932093493]","[745399389.5523385, 93888097.97373644, 9787360.069715362, 625079.0250545215, 184924.8700240644, 12912.41511084697, 5492.515561921376]",148809.6
