# ra : 49.95, dec : 41.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-06-21_2021-06-27,59389.16656782394,"[29445.0, 3273.0, 280.0, 19.0, 6.0, 1.0, 0.0]","[29512.07633388768, 3305.943670318232, 310.34478971396663, 19.012289528437826, 4.672938178594187, 0.2605618262261685, 0.15035138262158182]","[977577382.9806582, 109101573.44767159, 10199037.279916493, 620324.0620635953, 152451.0764643292, 8527.973973795757, 4668.14657143338]",173499.9
2021-06-28_2021-07-04,59396.16681620365,"[36539.0, 4125.0, 394.0, 22.0, 4.0, 0.0, 0.0]","[36371.2414514538, 4093.7861735988013, 388.9042999381, 24.543477697119293, 6.325731129860863, 0.420274062451725, 0.2076475771255895]","[1240651353.9637775, 139512860.56079105, 13233727.055839917, 834072.5203443032, 214765.90554877947, 14584.216525537702, 6744.73604394696]",201505.2
2021-07-05_2021-07-11,59403.16680162038,"[35570.0, 4005.0, 363.0, 23.0, 4.0, 0.0, 0.0]","[35923.87053572956, 4025.7387990459483, 379.1479298715633, 24.24918538862357, 5.90323167855528, 0.4823866525347086, 0.1590177892176672]","[1238327211.8838906, 138737945.28212973, 13055941.555779524, 836232.0607104285, 203518.35271551422, 17357.64448956232, 5455.3408755101855]",197222.3
2021-07-12_2021-07-18,59410.16673958351,"[35522.0, 4026.0, 382.0, 30.0, 7.0, 0.0, 0.0]","[35665.25383870468, 4002.149939986303, 378.3024954161466, 24.138679746269542, 5.6974714116017, 0.45852025071497826, 0.19781564738035057]","[1192201905.2861187, 133771353.34672418, 12637297.009723365, 802113.6177291549, 190440.48443115532, 15648.75632319182, 7111.671586951899]",195286.8
2021-07-19_2021-07-25,59417.16679537053,"[24759.0, 2735.0, 269.0, 21.0, 4.0, 1.0, 0.0]","[24822.938938782492, 2792.002316378752, 266.30377669237305, 17.07391641608026, 4.129841473123804, 0.2757265281416578, 0.1212332433758359]","[782083166.3535571, 87965576.2927422, 8367195.6664710855, 535567.3165666034, 129760.28055179285, 8485.547717257676, 3531.052674014951]",154143.5
2021-07-26_2021-08-01,59424.16695729188,"[9916.0, 1184.0, 111.0, 8.0, 1.0, 0.0, 0.0]","[10018.716254776818, 1127.7644570329408, 104.29952094537782, 6.575044713838069, 1.6382492872611039, 0.15660303323758748, 0.013913546223317709]","[311562001.78830147, 35013754.18578891, 3252152.7542584473, 202779.55092897153, 51587.5082846631, 4600.36779809674, 423.0662348002842]",63268.9
2021-08-02_2021-08-08,59431.16673773149,"[33759.0, 3701.0, 380.0, 28.0, 9.0, 0.0, 0.0]","[33795.95307673165, 3818.0342987411723, 363.6108571287665, 22.738893581550983, 5.726410643647955, 0.5853733330424642, 0.15333063029161828]","[1148854885.03595, 129735895.4046629, 12348349.021638684, 771149.6027710622, 193101.3754975487, 19927.364620145214, 5044.111024987036]",188149.5
2021-08-09_2021-08-15,59438.16700601812,"[36259.0, 4068.0, 388.0, 21.0, 7.0, 1.0, 0.0]","[36401.92954460659, 4078.868769868409, 390.55982623645133, 24.51810396786593, 6.222644890238927, 0.4234939420770781, 0.1642983187269747]","[1246913492.8225143, 139681488.2036366, 13362436.903185965, 840424.2038667025, 212708.34182444366, 14375.244545746873, 5587.760768172568]",202380.5
2021-08-16_2021-08-22,59445.16691111219,"[36652.0, 4164.0, 408.0, 21.0, 9.0, 0.0, 0.0]","[36803.054274074886, 4162.843999368118, 390.7847177073033, 24.48022902439536, 6.153792826066785, 0.385962124859323, 0.16224848921820706]","[1261065896.0412743, 142571488.65865806, 13382194.81124863, 838558.7262670217, 210928.25232601276, 12858.310015372017, 5718.5485749805175]",202930.2
2021-08-23_2021-08-29,59452.16672245379,"[37166.0, 4144.0, 395.0, 25.0, 8.0, 1.0, 0.0]","[37198.39606438481, 4160.099606723804, 393.88657087300294, 24.913663944269583, 6.211138190517534, 0.4834315846033601, 0.18430839083117656]","[1255895678.906221, 140275932.25599384, 13267822.028785573, 836501.060071867, 209686.35836158157, 16560.75683060747, 5823.253592571062]",202987.8
2021-08-30_2021-09-05,59459.16678854192,"[36849.0, 4158.0, 393.0, 34.0, 3.0, 0.0, 1.0]","[36820.18374400043, 4161.274527749114, 394.82518232147476, 26.22373500141821, 6.626001233972001, 0.49738671749075947, 0.21562810020661927]","[1266848897.2966943, 143113976.59207702, 13570349.979366323, 899980.2064462946, 226317.22073875475, 17472.845355514633, 7681.917817232344]",203968.9
2021-09-06_2021-09-12,59466.167044907554,"[35931.0, 4083.0, 384.0, 29.0, 7.0, 1.0, 0.0]","[36282.16441600401, 4080.0142426677253, 389.9915937158808, 25.003697940903145, 6.456222314262477, 0.4740697789973452, 0.2207533443828392]","[1225119884.9796717, 137677200.55111638, 13165795.663919836, 844823.6748293029, 218671.99956985703, 15629.329013090904, 6617.684814377045]",203543.6
2021-09-13_2021-09-19,59473.16697187504,"[36102.0, 4137.0, 369.0, 12.0, 7.0, 0.0, 0.0]","[36180.517806692376, 4039.978341791275, 382.7346094728011, 24.61210391458977, 5.606109519636091, 0.4910171195433389, 0.14194684589556636]","[1181547666.1581953, 131910089.70687017, 12507928.539573867, 803029.9881792053, 182997.83151526446, 16169.321135720593, 5123.302721097887]",191896.0
