# ra : 104.06, dec : 42.6
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-06-21_2021-06-27,59389.16656782394,"[29553.0, 3289.0, 304.0, 24.0, 4.0, 0.0, 0.0]","[29750.474200928034, 3282.4990509479626, 304.52331477961934, 19.388641724883108, 4.064038847238496, 0.32589972933190603, 0.11770079625256945]","[943711036.8974122, 104073071.44520928, 9652241.2895561, 617124.1821597823, 130313.3972229082, 9762.666736661478, 4112.933185026133]",164243.6
2021-06-28_2021-07-04,59396.16681620365,"[36421.0, 4071.0, 412.0, 34.0, 1.0, 0.0, 1.0]","[36516.494150684535, 4087.3737070826423, 385.0686045678259, 25.16203923833158, 5.557130064860296, 0.5148653352544661, 0.15708872567407722]","[1223693232.9233072, 136840445.4287706, 12870210.23346748, 838264.931484867, 184265.9386790998, 16037.768218387731, 5423.63790609924]",197927.9
2021-07-05_2021-07-11,59403.16680162038,"[32328.0, 3583.0, 345.0, 25.0, 12.0, 0.0, 0.0]","[32339.599199719232, 3639.1495618023037, 345.38450166544567, 22.75053956684979, 5.0112244057367645, 0.4392998473957327, 0.13206682940233905]","[1099666084.2019174, 123792294.09456502, 11736694.335261617, 770278.2779102888, 170668.91366215202, 14454.551239870558, 4600.446208611829]",188060.6
2021-07-12_2021-07-18,59410.16673958351,"[31094.0, 3534.0, 354.0, 20.0, 6.0, 0.0, 0.0]","[31135.717306163693, 3509.1038312594205, 331.97719653734936, 22.709865943629563, 4.197883291641147, 0.3203945567347688, 0.17297009545616013]","[990960663.9833555, 111816721.30329275, 10587745.323442167, 725930.8318564097, 133606.80922074604, 10986.24387023128, 5467.137823474868]",180467.4
2021-07-19_2021-07-25,59417.16679537053,"[24915.0, 2644.0, 265.0, 15.0, 5.0, 1.0, 0.0]","[25111.555364623393, 2750.3536906966724, 258.16143400827997, 16.746688466652895, 3.8292548811662144, 0.37819170143778447, 0.08640857827097759]","[754601543.1082554, 83038830.54464842, 7807229.521844611, 505939.0928879295, 116831.29222848451, 11652.353389576105, 2840.1220816729583]",133498.9
2021-07-26_2021-08-01,59424.16695729188,"[10648.0, 1137.0, 103.0, 4.0, 2.0, 0.0, 0.0]","[10555.178296366248, 1169.1715185745802, 109.68308620556623, 6.913410787220561, 1.7964176529921945, 0.07873799421992694, 0.027522647346636585]","[311140208.77348655, 34603342.39056369, 3239553.0962168104, 203644.76120394343, 52586.843478456154, 3042.4709821825636, 1116.9171970532893]",61139.8
2021-08-02_2021-08-08,59431.16673773149,"[36848.0, 4225.0, 416.0, 36.0, 3.0, 0.0, 0.0]","[36659.98031368415, 4125.196767758639, 390.5260675834645, 26.50487642055718, 5.9882111790325245, 0.44170729986623014, 0.16355835271387012]","[1240256738.9551127, 139600882.89993727, 13217287.11192948, 893402.7576762997, 202465.75258216253, 15030.755303827144, 5743.299828723424]",201613.1
2021-08-09_2021-08-15,59438.16700601812,"[36845.0, 4108.0, 380.0, 25.0, 6.0, 0.0, 0.0]","[36807.32057716013, 4122.916554424124, 388.0903685469277, 25.85939318489745, 5.6933967929468965, 0.4640724833589113, 0.15332899532937702]","[1256700289.5472221, 140599771.98156494, 13208102.853653451, 879444.7872914848, 193954.0841701278, 15534.116477625195, 5810.953713407889]",201940.2
2021-08-16_2021-08-22,59445.16691111219,"[35763.0, 4136.0, 399.0, 29.0, 9.0, 1.0, 0.0]","[36066.605450898605, 4071.5202902532624, 388.9178131019957, 26.281186463220706, 5.757511514708012, 0.48016639018830376, 0.18158452489890536]","[1229025164.4442072, 138601099.24153477, 13221029.622006064, 889423.1056240262, 197387.7263210124, 16559.534088942382, 5363.829014694618]",201362.9
2021-08-23_2021-08-29,59452.16672245379,"[34539.0, 3859.0, 397.0, 20.0, 3.0, 1.0, 0.0]","[34656.2722250171, 3894.737309033365, 367.4247413333538, 24.88349079730488, 5.5361110476357265, 0.486853773245507, 0.20622520763085417]","[1144361495.7438428, 128400200.93694855, 12092823.239663411, 815634.7256639163, 181643.06423881475, 15300.070637799421, 6730.962390907959]",194494.3
2021-08-30_2021-09-05,59459.16678854192,"[36507.0, 4362.0, 409.0, 23.0, 10.0, 0.0, 0.0]","[36620.5802944166, 4117.968979229726, 393.0669574344529, 25.99661354078983, 5.709985518606185, 0.47826770794209955, 0.23430762688452814]","[1267371394.3879488, 142507560.15218866, 13586352.787415216, 896970.7354191937, 196988.59580474158, 17105.53494583323, 7600.922312616794]",204586.8
