source_id,source,series,method,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,global_exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
ngc1275,NGC 1275,wcda_weekly,CWT,86.67769135952088,21.237683854898243,1.6298560917204619,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.6991474789298744,3.2394552801291945,False,False,0,0,0,,,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,CWT,173.35538271904176,10.618841927449122,3.0961747967120545,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.1411705266764534,3.9936785921119773,False,False,0,0,0,,,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,CWT,367.32726039871164,5.011426062873296,2.6646153162436,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.7920391994695666,5.178858987852342,False,False,0,0,0,,,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,WWZ,89.49963162535032,20.568055677276583,2.1005165705237414,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.2787212787212787,0.951048951048951,0.7212787212787213,0.04895104895104896,2.766634998932066,3.4882203020499083,False,False,1000,278,951,80.54966846281529,98.44959478788536,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,WWZ,174.18846593741048,10.568055677276583,2.833325199188998,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.16583416583416583,0.7072927072927073,0.8341658341658342,0.2927072927072927,3.2014882401042084,4.358658449205208,False,False,1000,165,707,156.76961934366943,191.60731253115154,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_weekly,WWZ,363.2228064540831,5.068055677276583,2.7122080286274057,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.2047952047952048,0.7662337662337663,0.7952047952047951,0.23376623376623373,4.103743086185621,5.56346130565827,False,False,1000,204,766,326.90052580867484,399.54508709949147,0.2600703846336463,Quick-look candidate peak; no source/method/survey trial correction.
