source_id,survey,mjd,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
mkn421,ATLAS,60633.559849,-15.116,0.007,-3264,23,o,0,57.13,166.11383,38.20883,3363.13,8328.22,2.56,2.25,13.9,-0.399,18.63,19.23,02a60633o0820o
mkn421,ATLAS,60633.563087,-15.197,0.005,-3027,14,o,0,68.06,166.11383,38.20883,3380.2,8367.32,2.56,2.25,10.0,-0.404,18.66,19.26,02a60633o0827o
mkn421,ATLAS,60633.587188,-15.384,0.007,-2548,19,o,0,132.21,166.11383,38.20883,3332.64,8288.65,2.45,2.14,15.9,-0.425,18.79,19.35,02a60633o0876o
mkn421,ATLAS,60633.592334,-15.495,0.002,-2301,4,o,0,4973.56,166.11383,38.20883,3314.4,8404.81,2.42,2.1,20.8,-0.4,18.8,19.41,02a60633o0887o
mkn421,ATLAS,60634.621189,-14.42,0.001,-6194,7,o,0,1090.79,166.11383,38.20883,1873.83,4233.48,2.3,1.83,32.3,-0.451,19.06,19.65,02a60634o0929o
mkn421,ATLAS,60634.626773,-15.277,0.001,-2812,2,o,0,2225.91,166.11383,38.20883,1893.55,4272.9,2.34,1.81,32.6,-0.453,19.07,19.66,02a60634o0941o
mkn421,ATLAS,60634.645592,-15.913,0.002,-1567,4,o,0,3045.87,166.11383,38.20883,1849.55,4193.74,2.28,1.9,32.4,-0.446,19.05,19.68,02a60634o0980o
mkn421,ATLAS,60634.657343,-15.267,0.008,-2839,22,o,0,69.13,166.11383,38.20883,1836.49,4314.27,2.33,1.85,33.7,-0.455,18.58,18.79,02a60634o1005o
mkn421,ATLAS,60635.587016,-15.382,0.001,-2553,3,o,0,324.65,166.11383,38.20883,1857.0,4228.21,2.29,1.95,31.4,-0.445,18.99,19.63,02a60635o0876o
mkn421,ATLAS,60635.590195,-14.38,0.001,-6424,5,o,0,727.41,166.11383,38.20883,1876.15,4267.09,2.32,1.9,32.8,-0.447,18.98,19.65,02a60635o0883o
mkn421,ATLAS,60635.599961,-15.731,0.002,-1851,4,o,0,1643.22,166.11383,38.20883,1821.31,4187.2,2.27,1.87,34.6,-0.45,19.03,19.7,02a60635o0904o
mkn421,ATLAS,60635.609255,-15.491,0.001,-2310,3,o,0,2078.07,166.11383,38.20883,1803.94,4304.22,2.36,1.88,31.8,-0.444,19.06,19.72,02a60635o0924o
mkn421,ATLAS,60637.587293,-16.072,0.001,-1353,2,o,0,1539.78,166.11383,38.20883,7810.74,482.5,2.26,2.2,83.9,-0.462,19.24,20.14,01a60637o0812o
mkn421,ATLAS,60637.590518,-16.053,0.001,-1377,2,o,0,1640.53,166.11383,38.20883,7792.86,442.94,2.25,2.19,-69.9,-0.469,19.27,20.15,01a60637o0819o
mkn421,ATLAS,60637.609167,-15.141,0.01,-3188,31,o,0,58.53,166.11383,38.20883,7848.96,520.3,2.39,2.34,-88.8,-0.459,18.26,19.19,01a60637o0859o
mkn421,ATLAS,60637.624745,-15.135,0.001,-3206,3,o,0,645.85,166.11383,38.20883,7867.02,402.86,2.25,2.17,82.7,-0.467,18.91,19.56,01a60637o0892o
mkn421,ATLAS,60639.569017,-15.623,0.002,-2046,4,o,0,1138.83,166.11383,38.20883,1407.54,6444.25,2.13,1.87,26.3,-0.441,19.44,20.56,02a60639o0831o
mkn421,ATLAS,60639.585381,-14.692,0.0,-4823,2,o,0,1963.86,166.11383,38.20883,1430.95,6484.08,2.09,1.84,25.3,-0.446,19.47,20.65,02a60639o0866o
mkn421,ATLAS,60639.601545,-15.202,0.001,-3014,2,o,0,2197.39,166.11383,38.20883,1380.7,6405.93,2.03,1.82,32.0,-0.455,19.5,20.67,02a60639o0901o
mkn421,ATLAS,60639.607265,-15.302,0.001,-2748,4,o,0,3820.87,166.11383,38.20883,1355.98,6518.45,2.03,1.74,26.2,-0.451,19.57,20.67,02a60639o0913o
mkn421,ATLAS,60641.56178,-18.513,0.162,-143,23,c,0,90.27,166.11383,38.20883,5360.52,189.75,2.86,2.5,-57.6,-0.414,19.36,21.25,02a60641o0824c
mkn421,ATLAS,60641.5646,-15.285,0.002,-2794,7,c,0,677.51,166.11383,38.20883,5378.28,230.11,2.7,2.4,-62.3,-0.418,19.39,21.25,02a60641o0830c
mkn421,ATLAS,60641.569729,-14.977,0.002,-3707,6,c,0,719.57,166.11383,38.20883,5326.79,150.65,2.62,2.28,-64.0,-0.428,19.44,21.25,02a60641o0841c
mkn421,ATLAS,60641.579545,-17.713,0.083,-298,25,c,0,97.08,166.11383,38.20883,5313.67,269.21,2.58,2.22,-63.1,-0.439,19.52,21.23,02a60641o0862c
mkn421,ATLAS,60642.567673,-17.744,0.066,-290,19,c,0,45.13,166.11383,38.20883,10203.32,2542.05,2.81,2.33,-51.7,-0.422,19.39,20.97,02a60642o0829c
