source_id,survey,asas_sn_id,mjd,jd,phot_filter,mag,mag_err,flux,flux_err,limit,fwhm,image_id,camera,quality
mkn421,ASAS-SN Sky Patrol,128849645138,59295.25743999984,2459295.75744,g,13.073224523622303,0.0032625948348906663,21.41590538422813,0.06428170850780271,17.632422083651285,1.61,bC216821,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59297.203242599964,2459297.7032426,g,13.04548570736123,0.005221681153730147,21.970096574734587,0.10554317209152904,17.09406525463493,1.58,bs331618,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59302.243686500005,2459302.7436865,g,13.03660222832974,0.00413676361269171,22.150593012330276,0.08430122579911505,17.338055887397495,1.56,bs332992,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59304.35411219997,2459304.8541122,g,13.029414654927091,0.0029184953517688134,22.29771637351336,0.05986971906386546,17.70962256083742,1.40,bC219201,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59305.2171769999,2459305.717177,g,13.005307746158685,0.003592580607422961,22.798336025387673,0.07535247109541443,17.45989686379347,1.43,bs333963,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59306.43837040011,2459306.9383704,g,12.924660875338587,0.0038320793827240213,24.556241666804556,0.08657335001586627,17.30918005352006,1.43,bC219987,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59308.2220085999,2459308.7220086,g,13.01175515104851,0.003236616405845522,22.663354313450217,0.06748437763181062,17.579632493940732,1.46,bs334655,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59310.19071860006,2459310.6907186,g,13.027421072219301,0.0030828137460328885,22.338696104438167,0.06335675626567626,17.64815827600418,1.49,bs335346,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59312.352839100175,2459312.8528391,g,12.937688954087834,0.0036024385837875412,24.263344653245344,0.08041463223453928,17.389302911196268,2.01,bC221476,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59313.34706589999,2459313.8470659,g,13.011719198342908,0.003096672079606945,22.664104792611557,0.06456863647892087,17.627586573100388,1.71,bs336466,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59314.337817199994,2459314.8378172,g,13.01703798870075,0.0030286140248202147,22.553349676030443,0.06284095984466023,17.65703358665634,1.48,bs336824,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59317.41200570017,2459317.9120057,g,13.051997960219976,0.00232816315334182,21.83871420180778,0.046776562543330666,17.97756985203227,1.46,bC223030,bC,G
