source_id,survey,mjd,value,value_err,band,instrument,unit,source_catalog,source_url
mkn421,CDS/VizieR A&A 684 A127,59711.5,1.12e-07,2.64e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7837,16.0,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7837,2.67,0.24,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7837,192.0,2.44,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7897,16.4,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7897,3.17,0.22,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7897,195.0,1.83,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7948,16.1,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7948,2.67,0.18,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59712.7948,193.0,1.83,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59713.1737,23.8,2.31,H-band,Perkins,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59713.1737,1.71,1.03,H-band,Perkins,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59713.1737,175.0,17.2,H-band,Perkins,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59713.8205,14.8,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59713.8205,3.68,0.24,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59713.8205,179.0,1.75,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59714.5,1.2e-07,2.5e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59715.8046,14.1,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59715.8046,3.53,0.29,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59715.8046,176.0,2.24,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.1598,70.5,0.595,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.1598,36.8,0.771,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.1625,7.16,0.279,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.1625,7.97,0.265,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.1625,6.23,0.207,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.5,1.45e-07,2.58e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.8649,14.1,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.8649,2.67,0.43,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59717.8649,179.0,4.67,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59718.1474,82.6,0.55,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59718.1474,54.8,0.871,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59718.9093,1.83e-10,1.64e-11,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59718.9093,9.17e-12,2.18e-12,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59719.0763,77.8,0.588,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59719.0763,45.9,0.841,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59719.0786,9.1,0.638,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59719.0786,8.74,0.613,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59719.0786,8.6,0.603,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59719.6264,0.31,0.12,37GHz,Metsahovi,Jy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.5,1.15e-07,2.22e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.9234,2.31e-10,1.42e-11,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.9234,1.43e-11,1.97e-12,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.9381,91.5,0.567,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.9381,81.8,1.07,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.9407,9.44,0.314,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.9407,10.0,0.333,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59720.9407,8.14,0.27,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.2138,95.5,0.607,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.2138,76.8,1.05,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.2162,10.6,0.353,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.2162,10.8,0.359,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.2162,9.69,0.322,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.8659,15.3,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.8659,3.31,0.24,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.8659,118.0,1.97,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.8992,16.0,0.00972,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.8999,15.9,0.00971,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.9006,16.1,0.00977,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.9108,2.96e-10,2.14e-11,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59721.9108,2.87e-11,4.02e-12,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59722.9099,1.9e-10,1.65e-11,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59722.9099,1.04e-11,2.22e-12,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59722.9243,65.7,0.475,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59722.9243,36.5,0.666,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59722.927,10.8,0.36,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59722.927,11.4,0.379,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59722.927,9.52,0.316,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59723.195,63.1,0.596,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59723.195,31.0,0.636,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59723.1975,11.5,0.381,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59723.1975,11.2,0.372,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59723.1975,9.96,0.331,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59723.5,1.03e-07,2.07e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59724.9118,1.08e-10,1.13e-11,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59724.9118,4.2e-12,1.4e-12,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59724.9123,55.1,0.509,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59724.9123,27.1,0.676,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59724.9146,10.7,0.357,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59724.9146,11.1,0.369,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59724.9146,9.78,0.325,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59725.177,56.6,0.581,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59725.177,26.2,0.646,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59725.1793,11.4,0.377,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59725.1793,11.5,0.383,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59725.1793,10.3,0.343,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.5,8.73e-08,1.95e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.9075,66.9,0.558,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.9075,35.4,0.731,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.9098,13.2,0.437,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.9098,13.6,0.452,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.9098,12.1,0.402,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.9128,1.1e-10,1.19e-11,0.2-1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59726.9128,5.3e-12,1.48e-12,>1TeV,MAGIC,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59727.166,68.0,0.565,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59727.166,32.0,0.681,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59727.1684,13.4,0.445,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59727.1684,13.6,0.452,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59727.1684,12.0,0.398,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59728.9046,62.8,0.564,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59728.9046,25.7,0.611,2-10keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59728.9071,11.9,0.395,M2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59728.9071,12.4,0.412,W1,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59728.9071,10.7,0.356,W2,Swift-UVOT,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.5,6.63e-08,1.68e-08,0.3-300GeV,Fermi-LAT,ph/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.8054,20.2,0.4,R-band,RoboPol,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.8054,5.63,0.2,R-band,RoboPol,%(PolarizationDegree),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.8054,149.0,0.85,R-band,Robopol,deg(PolarizationAngle),CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.9376,20.5,0.0212,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.9383,20.1,0.0139,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.939,20.3,0.014,R-band,T90,mJy,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
mkn421,CDS/VizieR A&A 684 A127,59729.9655,82.7,0.689,0.3-2keV,Swift-XRT,10^-11 erg/cm^2/s^1,CDS/VizieR J/A+A/684/A127 fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat
