source_id,source,series,series_label,flux_kind,n_points,mjd_min,mjd_max,date_min,date_max,median_dt_days,flux_min,flux_max,cwt_peak_period_days,cwt_peak_gws,wwz_peak_period_days,wwz_peak_power
mkn421,Mrk 421,wcda_daily_flux,Mrk 421 WCDA daily flux,WCDA N0,1570,59281.5,60887.5,2021-03-08,2025-07-31,1.0,0.0,6.27039e-12,132.22958691190448,15.949243463958931,128.17238627294486,18.874925489823013
mkn421,Mrk 421,wcda_weekly_flux,Mrk 421 WCDA weekly flux,WCDA N0,229,59284.5,60880.5,2021-03-11,2025-07-24,7.0,1.009e-14,4.12671e-12,367.3274243892357,3.6996554257639427,131.24999999999991,4.39798995199826
mkn421,Mrk 421,fermi_weekly_on_wcda_flux_axis,Mrk 421 Fermi weekly on WCDA flux axis,Fermi flux,224,59284.5,60880.5,2021-03-11,2025-07-24,7.0,4.6011213e-08,4.1798924e-07,583.0959398922422,6.502697560653583,600.0,5.153338256304613
mkn501,Mrk 501,wcda_daily_flux,Mrk 501 WCDA daily flux,WCDA N0,1560,59282.5,60887.5,2021-03-09,2025-07-31,1.0,0.0,1.42524e-12,157.24836556950748,11.066710190401432,152.49406175771975,13.581036119631696
mkn501,Mrk 501,wcda_weekly_flux,Mrk 501 WCDA weekly flux,WCDA N0,229,59284.5,60880.5,2021-03-11,2025-07-24,7.0,0.0,9.3611e-13,462.8035541916657,6.448564368684648,436.06557377049177,8.065211639474068
