mjd,wcda_flux_excess,wcda_flux_excess_err
59501.16663148133,0.005008288936459,0.0011281186669713
59508.16666423631,0.0066368809888834,0.0011203943702925
59515.1669280092,0.0042331856478069,0.0010773562566106
59522.1668252314,0.0038190405620379,0.0011299493058076
59529.16671238424,0.0025388185333706,0.0011062678398386
59536.16684085637,0.0032387273766988,0.0010924702954466
59543.166822106185,0.0050894977356437,0.001081776403757
59550.16697291678,0.0011366824021043,0.0011356521039499
59557.16690509248,0.0026166137270419,0.00111172821101
59564.166788194445,0.0023800871993111,0.0010952980787834
59571.16683148157,0.0067602783182591,0.0011084854631251
59578.16677905083,0.0077399401684103,0.0010953425833777
59585.16683425926,0.0078229603143834,0.0011170577903461
59592.16679201393,0.0092150816934331,0.0011095090948806
59599.16700868019,0.0123345753094046,0.0011232693678996
59606.16685833294,0.0047612967832216,0.001106899456915
59613.16693032354,0.0055748350600353,0.0010975840768884
59620.16686990748,0.0075429573496557,0.0011039513691177
59627.16690486121,0.0071593506914773,0.0011070213420602
59634.16683993064,0.0031331123312324,0.0010841176018048
59641.166850115726,0.0023678068700003,0.0010776000802044
59648.16671736075,0.0044377823588918,0.0010642137841711
59655.16690104192,0.001714557742672,0.0010514792876723
59662.16696226853,0.0042625242817021,0.0010699265816478
59669.166778935,0.0024630930949292,0.0010413758820815
59676.16661817132,0.0056255213033337,0.0009880529236888
59683.16650127327,0.0040370456102804,0.0010325975437284
59690.16679131911,0.0015848193561941,0.0010371169771632
59697.16674571783,0.0038929761821978,0.0011448580419908
59704.16650463019,0.0048158037207953,0.0010534586778608
59711.16671157407,0.0094591094135225,0.0010737643266009
59718.16637986089,0.0166754785964239,0.0011209622858737
59725.16671539346,0.004925290041848,0.0010883270223009
59732.16694317115,0.0088897963817873,0.0011339310631404
59739.16687361122,0.0076388085473097,0.001099707047154
59746.1670091434,0.0081671573621363,0.0011282763771137
59753.167018634485,0.0082966562201235,0.0012993676933788
59760.16680532409,0.0079306137505888,0.0012938209196787
59767.16666122664,0.0114173310064079,0.0011432070641119
59774.16690879582,0.0090316903721256,0.001085872555735
59781.1668662036,0.0090798173153674,0.0010831129448465
59788.16675636565,0.0085020130681725,0.001072330715719
59795.16681076432,0.0114332709258187,0.0010861842964862
59802.166529745205,0.0140900983760065,0.0011219998971149
59809.16680590272,0.005745881183628,0.0010976290502442
59816.16690625,0.0055098140131358,0.0011346226194053
59823.14737326394,0.004028595697201,0.0011117506860599
59830.14744907413,0.0038863360660403,0.0010984517298188
59837.1668284719,0.0061786499832272,0.0011519742573161
59844.16651377377,0.0064963766964438,0.0011636759400594
59851.1669710641,0.0130341480273046,0.0013258533744075
59858.16684722263,0.0115034192707388,0.0010745755668488
59865.16683425795,0.0125587099102563,0.001079586467264
59871.978755787066,0.0146783208302159,0.0011419028426284
59879.2502747682,0.0127604006029049,0.0010796294742968
59886.16695219893,0.0098264029150808,0.0010860419979459
59893.16699583343,0.0049054939776943,0.0010666474950099
59900.16687060168,0.0090414555831119,0.0011062460520083
59907.16699351847,0.0107126772966312,0.001118512343944
59914.166677777845,0.0218427526535651,0.0011576158465041
59921.166612731264,0.0153926434727125,0.0011060397203091
59928.16688993055,0.0127424532636623,0.0011220834636258
59935.16690578736,0.0109061621630892,0.0011075360128616
59942.16682083384,0.0165351696460237,0.0012192717710798
59949.16686342559,0.0197136032518802,0.0011128183711245
59956.16683078704,0.0297401470013687,0.0011534846436665
59963.16676030106,0.0239531705248378,0.0011531089990523
59970.16675717596,0.016231531720255,0.0011193385386413
59977.16682650465,0.012489060772372,0.00110110124913
59984.16681087963,0.0162536753970737,0.0011267192431036
59991.166785648245,0.0113654177028286,0.0010944276794604
59998.16684629615,0.0060991751165772,0.0010830068140504
60005.16687835648,0.0019071485263113,0.001064808669244
60012.16669861128,0.0045050421549807,0.0011143846771331
60019.16670821783,0.0071819371198051,0.0010914703026793
60026.16679004633,0.0092889192274731,0.0011136460998206
60033.166902199344,0.0100039418922282,0.0011121813881068
60040.16684895881,0.0141490582201318,0.001114624577182
60047.16669548633,0.0130647706754689,0.0010953332290268
60054.16680555557,0.0265971387632228,0.0011396965511593
60061.166785763984,0.0124848502782274,0.0011130509640501
60068.16675104176,0.0110853861358793,0.0011072264256773
60075.16686215272,0.0208066196770495,0.0011160755472442
60082.16686030101,0.0141094476066235,0.0011173698386935
60089.16687615765,0.0161014744886198,0.0011044803216023
60096.1668083332,0.0067846496151556,0.0010870428561253
60103.167110069255,0.006719563245335,0.0010841800883254
60110.16689143563,0.0062912043360673,0.0010874100318872
60117.16688773152,0.0118612066562491,0.0010938537097376
60124.166909374864,0.013548667025033,0.001098938983123
60131.166912731336,0.0045365932919311,0.0010645262150708
60138.16683148146,0.0098183568021767,0.0010955584156802
60145.16698715271,0.0108338341255049,0.0010719073259728
60152.16686215278,0.0076342549217697,0.0011601890173328
60159.16689525477,0.0073573254567872,0.0010741582970388
60166.16702233809,0.0075267224441437,0.0011339770655848
60173.16709594929,0.0066228958030361,0.0015576063026454
60180.16712303249,0.0090694370512112,0.0012241903624279
60187.16670706021,0.009247264628857,0.0011236053278614
60194.166676041845,0.0078791593823841,0.0010949827998494
60201.16667962952,0.015295135762321,0.0010939996573604
60208.16700092539,0.0231037727660965,0.001092540878633
60215.16700601883,0.0166820714412618,0.0011531069045833
60222.16709571736,0.012612763370033,0.0010682662760297
60229.16655520767,0.0179519429158341,0.0010759072338674
60236.16671643536,0.0277929344974706,0.0011725098870552
60243.166953356485,0.0207434752762054,0.0011126168739594
60250.16689942109,0.0222109430927782,0.0017706090317559
60257.16688657396,0.0201983645359697,0.0011031005865439
60264.16712557869,0.0127734405247854,0.0010813516457347
60271.16686388888,0.0089955111929889,0.0010750869552662
60278.16692754628,0.0130931897312433,0.0011464746558733
60285.16668923611,0.0104856411933546,0.0011008415457858
60292.16705150461,0.0159514886514691,0.001110586115797
60299.16706886605,0.016548417566913,0.0011524553651612
60306.16691192113,0.0125510878718196,0.0010965139216429
60313.16689004636,0.0089944123341634,0.00110064302356
60320.16693425913,0.0068373835033926,0.0010899577802222
60327.16667476842,0.0086333008961347,0.001105369797909
60334.16680081016,0.0107271656789623,0.0011097975872747
60341.166692014405,0.0261383440294113,0.0011730179495594
60348.16673680519,0.0247905040612586,0.0011326365229315
60355.16688726813,0.0148421069433576,0.0011010841436439
60362.16673182886,0.0051075588181479,0.0010961185643318
60369.166689467645,0.0083948890739554,0.0010979390778046
60376.16660543954,0.0078781351709577,0.0010970145367769
60383.1668672454,0.0097428297556438,0.0010911230325516
60390.1669740744,0.009839085624728,0.0011185328044991
60397.16699016142,0.007455694809937,0.0010810046390375
60404.16686817145,0.0062804822444815,0.0010849110950393
60411.1671318287,8.689985403604961e-05,0.0010561409449942
60418.1670802084,0.0006711622353505,0.0010677761681538
60425.1668747687,0.0029637309607969,0.0011127838818831
60432.1666519675,0.0028262036852445,0.0010764386162988
60439.16700694412,0.0103394634154348,0.0010759912872514
60446.16677731487,0.0165898825828667,0.0010898653177123
60453.16672048609,0.0100418468653264,0.0010712395651155
60460.16671284756,0.0112175328107437,0.0011823322433335
60467.166773263896,0.0072719104882716,0.0010846699660157
60474.16671030116,0.0042107122205905,0.0010737954073802
60481.16693645853,0.0056191533570316,0.0011203678617777
60488.16673865738,0.0058903812081063,0.0011124476620735
60495.16677083331,0.0101971430009167,0.0011003576489586
