source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn501,day,2021-03-09_2021-03-09,59282.5,2021-03-09,2021-03-09,6,2.6,3.0,6.660000000000001e-15,5.3325e-13,6.660000000000001e-15,5.3325e-13,0.00666,0.53325,1e-12,0.0,OK
Mkn501,day,2021-03-10_2021-03-10,59283.5,2021-03-10,2021-03-10,6,2.6,3.0,2.4139e-13,1.3578e-13,2.4139e-13,1.3578e-13,0.24139,0.13578,1e-12,5.27,OK
Mkn501,day,2021-03-11_2021-03-11,59284.5,2021-03-11,2021-03-11,5,2.6,3.0,9.999999999999999e-18,3.2268e-13,9.999999999999999e-18,3.2268e-13,1e-05,0.32268,1e-12,-0.0,OK
Mkn501,day,2021-03-12_2021-03-12,59285.5,2021-03-12,2021-03-12,6,2.6,3.0,1.9812e-13,1.3572e-13,1.9812e-13,1.3572e-13,0.19812,0.13572,1e-12,2.68,OK
Mkn501,day,2021-03-13_2021-03-13,59286.5,2021-03-13,2021-03-13,5,2.6,3.0,0.0,2.7125e-13,0.0,2.7125e-13,0.0,0.27125,1e-12,-0.0,OK
Mkn501,day,2021-03-15_2021-03-15,59288.5,2021-03-15,2021-03-15,6,2.6,3.0,1.7411e-13,1.3638e-13,1.7411e-13,1.3638e-13,0.17411,0.13638,1e-12,2.08,OK
Mkn501,day,2021-03-16_2021-03-16,59289.5,2021-03-16,2021-03-16,4,2.6,3.0,3.1277e-13,1.3066e-13,3.1277e-13,1.3066e-13,0.31277,0.13066,1e-12,8.84,OK
Mkn501,day,2021-03-17_2021-03-17,59290.5,2021-03-17,2021-03-17,4,2.6,3.0,1.1489e-13,1.3719e-13,1.1489e-13,1.3719e-13,0.11489,0.13719,1e-12,0.78,OK
Mkn501,day,2021-03-19_2021-03-19,59292.5,2021-03-19,2021-03-19,4,2.6,3.0,4.1634e-13,1.6066e-13,4.1634e-13,1.6066e-13,0.41634,0.16066,1e-12,9.12,OK
Mkn501,day,2021-03-20_2021-03-20,59293.5,2021-03-20,2021-03-20,3,2.6,3.0,3.4348e-13,2.8859e-13,3.4348e-13,2.8859e-13,0.34348,0.28859,1e-12,2.02,OK
Mkn501,day,2021-03-21_2021-03-21,59294.5,2021-03-21,2021-03-21,3,2.6,3.0,9.268e-14,1.7542e-13,9.268e-14,1.7542e-13,0.09268,0.17542,1e-12,0.3,OK
Mkn501,day,2021-03-22_2021-03-22,59295.5,2021-03-22,2021-03-22,3,2.6,3.0,1.5977e-13,1.631e-13,1.5977e-13,1.631e-13,0.15977,0.1631,1e-12,1.14,OK
Mkn501,day,2021-03-23_2021-03-23,59296.5,2021-03-23,2021-03-23,6,2.6,3.0,3.0495e-13,1.4313e-13,3.0495e-13,1.4313e-13,0.30495,0.14313,1e-12,6.34,OK
Mkn501,day,2021-03-24_2021-03-24,59297.5,2021-03-24,2021-03-24,6,2.6,3.0,1.8527e-13,1.2529e-13,1.8527e-13,1.2529e-13,0.18527,0.12529,1e-12,3.05,OK
Mkn501,day,2021-03-25_2021-03-25,59298.5,2021-03-25,2021-03-25,6,2.6,3.0,1.728e-14,2.1088e-13,1.728e-14,2.1088e-13,0.01728,0.21088,1e-12,0.02,OK
Mkn501,day,2021-03-26_2021-03-26,59299.5,2021-03-26,2021-03-26,5,2.6,3.0,0.0,2.933e-13,0.0,2.933e-13,0.0,0.2933,1e-12,-0.0,OK
Mkn501,day,2021-03-27_2021-03-27,59300.5,2021-03-27,2021-03-27,5,2.6,3.0,0.0,1.679e-13,0.0,1.679e-13,0.0,0.1679,1e-12,-0.0,OK
Mkn501,day,2021-03-28_2021-03-28,59301.5,2021-03-28,2021-03-28,5,2.6,3.0,4.002e-13,2.2862e-13,4.002e-13,2.2862e-13,0.4002,0.22862,1e-12,6.77,OK
Mkn501,day,2021-03-29_2021-03-29,59302.5,2021-03-29,2021-03-29,5,2.6,3.0,1.5743e-13,1.5416e-13,1.5743e-13,1.5416e-13,0.15743,0.15416,1e-12,1.19,OK
Mkn501,day,2021-03-30_2021-03-30,59303.5,2021-03-30,2021-03-30,6,2.6,3.0,1.4669e-13,1.3906e-13,1.4669e-13,1.3906e-13,0.14669,0.13906,1e-12,1.31,OK
Mkn501,day,2021-03-31_2021-03-31,59304.5,2021-03-31,2021-03-31,6,2.6,3.0,1.1955e-13,1.4638e-13,1.1955e-13,1.4638e-13,0.11955,0.14638,1e-12,0.75,OK
Mkn501,day,2021-04-01_2021-04-01,59305.5,2021-04-01,2021-04-01,6,2.6,3.0,1.8462e-13,1.3621e-13,1.8462e-13,1.3621e-13,0.18462,0.13621,1e-12,2.47,OK
