source_id,source,series,method,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,global_exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
m87,M 87,wcda_weekly,CWT,103.0777272767521,17.85869222187562,1.7071868013857197,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,1.977810362706703,2.4057031493346557,False,False,0,0,0,,,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,CWT,218.41409580030265,8.428180423158379,0.9758552402455223,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.3515939273953106,3.0545109075058594,False,False,0,0,0,,,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,CWT,389.1696759445418,4.730156330649656,2.2918728852063945,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.7220130327988423,3.738213910346259,False,False,0,0,0,,,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,WWZ,104.78299022850759,17.568055677276583,2.043806422190756,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.0989010989010989,0.7002997002997003,0.9010989010989011,0.29970029970029965,2.068542654739919,2.609576468644261,False,False,1000,98,700,94.30469120565682,115.26128925135835,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,WWZ,228.1632006519981,8.068055677276583,1.0243222960501541,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.6683316683316683,1.0,0.33166833166833165,0.0,2.543693330398055,3.470569154544117,False,False,1000,668,1000,205.34688058679828,250.97952071719791,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_weekly,WWZ,402.9796343164169,4.5680556772765835,2.804090053276332,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.08491508491508491,0.3176823176823177,0.9150849150849151,0.6823176823176823,2.9825098361321745,4.114394658463697,False,False,1000,84,317,362.6816708847752,443.2775977480586,0.09290698854416321,Quick-look candidate peak; no source/method/survey trial correction.
