source_id,source,series,method,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,global_exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
mkn421,Mrk 421,wcda_strict_flux_weekly,CWT,129.86985635070872,12.289225882333014,2.7963522381167345,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,11.221179052477114,14.081277880329624,False,False,0,0,0,,,0.7259199335467618,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_strict_flux_weekly,CWT,129.86985635070872,12.289225882333014,2.036739080584128,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.431675314637326,3.051470407879046,False,False,0,0,0,,,0.1541864278919502,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_strict_flux_weekly,WWZ,77.25072604065824,20.66000000000001,1.7452699347012657,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.2607392607392607,0.948051948051948,0.7392607392607393,0.0519480519480519,2.056021236036578,2.6257666382274465,False,False,1000,260,948,69.52565343659242,84.97579864472407,0.1541864278919502,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_strict_flux_weekly,WWZ,136.87821612349907,11.660000000000004,2.224104867466127,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.1678321678321678,0.7672327672327672,0.8321678321678322,0.2327672327672327,2.6095433698998867,3.25716318735542,False,False,1000,167,767,123.19039451114917,150.566037735849,0.1541864278919502,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_strict_flux_weekly,WWZ,505.0632911392405,3.1600000000000006,3.3615157662170736,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.0699300699300699,0.2887112887112887,0.93006993006993,0.7112887112887113,3.7636550842023855,5.017487679495867,False,False,1000,69,288,454.5569620253164,555.5696202531645,0.1541864278919502,Quick-look candidate peak; no source/method/survey trial correction. Fewer than four observed cycles.
1es2344p514,1ES 2344+514,wcda_strict_flux_weekly,CWT,173.35546011226333,9.206517054417818,3.533355651139221,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,4.647403172609474,5.986460398912244,False,False,0,0,0,,,0.4176011403864029,Quick-look candidate peak; no source/method/survey trial correction.
1es2344p514,1ES 2344+514,wcda_strict_flux_weekly,CWT,367.3274243892357,4.344897478465454,6.117531090421377,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,5.615302438958735,7.773921568553636,True,False,0,0,0,,,0.4176011403864029,Quick-look candidate peak; no source/method/survey trial correction.
1es2344p514,1ES 2344+514,wcda_strict_flux_weekly,WWZ,184.29561200923777,8.660000000000005,3.3234186718126644,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.2747252747252747,0.8931068931068931,0.7252747252747253,0.1068931068931069,4.768399685840557,6.652673594721371,False,False,1000,274,893,165.866050808314,202.7251732101616,0.4176011403864029,Quick-look candidate peak; no source/method/survey trial correction.
1es2344p514,1ES 2344+514,wcda_strict_flux_weekly,WWZ,342.489270386266,4.660000000000002,6.74541393822732,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.0369630369630369,0.1898101898101898,0.9630369630369632,0.8101898101898102,5.709557212420259,7.793836160581324,True,False,1000,36,189,308.2403433476394,376.7381974248926,0.4176011403864029,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_strict_flux_weekly,CWT,137.59231987331904,11.59948463307715,1.381601099512623,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.197095518117038,2.7711976179356026,False,False,0,0,0,,,0.0976642721752557,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_strict_flux_weekly,CWT,308.8843143932881,5.1669829953485005,2.943866892265722,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.6876122118974832,3.65952491605028,True,False,0,0,0,,,0.0976642721752557,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_strict_flux_weekly,WWZ,116.83748169838938,13.660000000000007,1.543721098982926,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.3706293706293706,0.951048951048951,0.6293706293706294,0.0489510489510489,2.142884652474219,2.7355885641767914,False,False,1000,370,951,105.15373352855045,128.52122986822832,0.0976642721752557,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_strict_flux_weekly,WWZ,309.3023255813952,5.160000000000002,3.6761592878648734,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.0179820179820179,0.1318681318681318,0.982017982017982,0.8681318681318682,2.811576039438788,3.7867885350862807,True,False,1000,17,131,278.37209302325573,340.2325581395348,0.0976642721752557,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_strict_flux_weekly,CWT,231.40177709583284,6.897094828010037,5.01674420081801,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.910775072681,5.177871135961539,True,False,0,0,0,,,0.3115668578076957,Quick-look candidate peak; no source/method/survey trial correction.
